ticker,insider_name,relationship,transaction_date,transaction_type,price,shares,value,shares_total,sec_form4
PRME,NELSEN ROBERT,Director,2025-08-01,Buy,3.3,3030300,"9,999,990","6,230,300",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1219042/000106299325013462/xslF345X05/form4.xml
PRME,"ARCH Venture Partners XII, LLC",10% Owner,2025-08-01,Buy,3.3,3030300,"9,999,990","6,230,300",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1894562/000106299325013461/xslF345X05/form4.xml
PRME,"ARCH Venture Partners X, LLC",10% Owner,2025-08-01,Buy,3.3,3030300,"9,999,990","6,230,300",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1219039/000106299325013460/xslF345X05/form4.xml
PSX,Heim Michael A,Director,2025-07-30,Buy,125.97,1000,"125,970","12,043",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1387730/000153470125000143/xslF345X05/wk-form4_1754085664.xml
PSX,CORNELIUS SIGMUND L,Director,2025-07-31,Buy,123.55,500,"61,775","21,543",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1409860/000153470125000142/xslF345X05/wk-form4_1754085657.xml
TWNP,Boerema Kim Allen,President and CEO,2025-07-31,Buy,3.7,4200,"15,558","4,200",https://finviz.com/http://www.sec.gov/Archives/edgar/data/2011954/000164117225021946/xslF345X05/ownership.xml
PCB,RHEE DON,Director,2025-08-01,Buy,20.13,10000,"201,323","419,044",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1423869/000174947425000004/xslF345X05/wk-form4_1754083442.xml
OVLY,Leonard Daniel J,Director,2025-08-01,Buy,26.2,1000,"26,200","62,223",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1431567/000143774925024417/xslF345X05/rdgdoc.xml
NSPR,ROUBIN GARY S,Director,2025-07-30,Buy,2.42,41322,"99,999","608,425",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1162533/000164117225021934/xslF345X05/ownership.xml
NSPR,Kester Thomas J,Director,2025-07-30,Buy,2.42,30991,"74,998","420,758",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1299870/000164117225021933/xslF345X05/ownership.xml
NSPR,Slosman Marvin,CEO and President,2025-07-30,Buy,2.42,10330,"24,999","2,420,866",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1433607/000164117225021931/xslF345X05/ownership.xml
NSPR,Stuka Paul,Director,2025-07-30,Buy,2.42,20661,"50,000","444,195",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1433607/000164117225021930/xslF345X05/ownership.xml
GBCI,Heck Kristen Lee,Director,2025-08-01,Buy,42.41,153,"6,489","9,925",https://finviz.com/http://www.sec.gov/Archives/edgar/data/868671/000086867125000087/xslF345X05/wk-form4_1754081691.xml
ANNX,Carson William H.,Director,2025-07-30,Buy,2.43,4115,"9,999","33,830",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1528115/000141588925020861/xslF345X05/form4-08012025_040819.xml
UPS,JOHNSON WILLIAM R,Director,2025-07-31,Buy,86.5,5000,"432,477","10,160",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1090727/000122520825006952/xslF345X05/doc4.xml
UPS,TOME CAROL B,Chief Executive Officer,2025-08-01,Buy,85.67,11682,"1,000,816","24,718",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1090727/000122520825006951/xslF345X05/doc4.xml
FBIZ,Kauten Ralph R.,Director,2025-07-30,Buy,47.8,10000,"478,000","29,756",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1521951/000106299325013444/xslF345X05/form4.xml
FBIZ,Graham Jason R,Director,2025-07-30,Buy,47.87,1000,"47,865","3,220",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1521951/000106299325013441/xslF345X05/form4.xml
TNL,Brown Michael Dean,See Remarks,2025-08-01,Buy,58.39,1500,"87,585","427,821",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1361658/000136165825000281/xslF345X05/wk-form4_1754079557.xml
ILPT,PHELAN KEVIN C,Director,2025-07-31,Buy,5.43,5000,"27,131","15,500",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1256467/000110465925073117/xslF345X05/tm2522262-1_4seq1.xml
TBBK,Cohn Matthew,Director,2025-07-31,Buy,63.0,500,"31,500","59,611",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1295401/000203985225000120/xslF345X05/ownership.xml
TBBK,Cohn Matthew,Director,2025-07-30,Buy,62.51,62,"3,876","59,111",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1295401/000203985225000120/xslF345X05/ownership.xml
JMSB,Carstater Kent,CHIEF FINANCIAL OFFICER,2025-07-31,Buy,18.43,5000,"92,156","53,131",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1710482/000141588925020839/xslF345X05/form4-08012025_080806.xml
