ticker,insider_name,transaction_date,transaction_type,price,shares,value,relationship,sec_form4,market_open_at_trade,market_close_at_trade,high_at_trade,low_at_trade,sma_20_at_trade,rsi_14_at_trade,sma_20_prev,price_prev,high_plus_7d,low_plus_7d,max_gain_7d,max_drawdown_7d,high_plus_14d,low_plus_14d,max_gain_14d,max_drawdown_14d,high_plus_30d,low_plus_30d,max_gain_30d,max_drawdown_30d,high_minus_7d,low_minus_7d,high_minus_15d,low_minus_15d,final_gain_30d,case_2_outcome,ownership_pct,tags,score,bucket,outcome_case_1,outcome_case_2
AAOI,Lin Chih-Hsiang (Thompson),2025-08-13,Buy,22.56223140495868,12100,273002,President and CEO,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1158114/000168316825006190/xslF345X05/ownership.xml,23.645000457763672,23.020000457763672,24.299999237060547,22.09499931335449,,,,22.790000915527344,26.968000411987305,20.458999633789062,19.527186508956454,-9.321913836533788,,,,,,,,,24.39999961853028,19.88500022888184,26.350000381469727,19.88500022888184,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000196,"['👑 CEO', '🟢 SMALL TRADE', '🌱 SMALL CAP', '📡 Tech', '📉 BELOW CLOSE', '🚀 SPIKE +20% [7d]', '📉 DIP -5% [7d]', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🟢 SUCCESSFUL TRADE C1', '🔁 CLUSTER BUY', '🧩 MULTIPLE BUYS']",15.0,Highest Conviction (15+),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
ATRA,Panacea Innovation Ltd,2025-07-17,Buy,9.64,19335,186372,10% Owner,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1573160/000095017025097087/xslF345X05/ownership.xml,9.300000190734863,9.710000038146973,9.800000190734863,8.529999732971191,8.570750045776368,69.94956575441144,8.475250053405762,9.279999732971191,13.460000038146973,9.776000022888184,39.626556412312986,1.410788619172023,13.460000038146973,9.776000022888184,39.626556412312986,1.410788619172023,13.460000038146973,9.776000022888184,39.626556412312986,1.410788619172023,9.621999740600586,8.770000457763672,9.621999740600586,7.880000114440918,-0.3280481158090197,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.002381,"['🔟 10% Owner', '💰 LARGE TRADE', '🐣 MICRO CAP', '🏥 Healthcare', '🚀 SPIKE +20% [7d]', '🚀 SPIKE +20% [14d]', '🚀 SPIKE +20% [30d]', '📈 ABOVE SMA20', '🟡 NEUTRAL (RSI)', '💪 STRONG TREND', '🟢 SUCCESSFUL TRADE C1']",12.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
AUPH,TANG KEVIN,2025-08-01,Buy,10.12,1000000,10120000,Director,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1178579/000141588925021066/xslF345X05/form4-08052025_090800.xml,9.359999656677246,10.489999771118164,10.520000457763672,9.329999923706056,,,,9.244999885559082,11.800000190734863,10.449999809265137,16.600792398565854,3.2608676804855485,12.479999542236328,10.449999809265137,23.320153579410366,3.2608676804855485,,,,,9.829999923706056,8.800000190734863,9.829999923706056,8.550000190734863,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.006571,"['📋 Director', '🔥 VERY LARGE TRADE', '🌱 SMALL CAP', '🏥 Healthcare', '📉 BELOW CLOSE', '🚀 SPIKE +10% [7d]', '🚀 SPIKE +20% [14d]', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🟢 SUCCESSFUL TRADE C1', '🧩 MULTIPLE BUYS']",14.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
BHC,Paulson John,2025-08-11,Buy,6.35,2000000,12700000,Director,https://finviz.com/http://www.sec.gov/Archives/edgar/data/885590/000101359425001002/xslF345X05/form4.xml,5.75,6.659999847412109,6.980000019073486,5.75,6.301500058174133,59.2851039703704,6.285500073432923,5.75,8.6899995803833,6.670000076293945,36.850387092650415,5.039371280219617,,,,,,,,,6.110000133514404,5.650000095367432,7.099999904632568,5.5,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.00479,"['📋 Director', '💰 LARGE TRADE', '🌿 MID CAP', '🏥 Healthcare', '📉 BELOW CLOSE', '🚀 SPIKE +20% [7d]', '📈 ABOVE SMA20', '⚡️ SMA SUPPORT RECLAIMED', '🟡 NEUTRAL (RSI)', '🟢 SUCCESSFUL TRADE C1', '🧩 MULTIPLE BUYS']",13.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
BHC,Paulson John,2025-08-12,Buy,6.88,1156640,7957683,Director,https://finviz.com/http://www.sec.gov/Archives/edgar/data/885590/000101359425001002/xslF345X05/form4.xml,6.690000057220459,7.0,7.019999980926514,6.670000076293945,6.330500054359436,64.17349286928902,6.301500058174133,6.659999847412109,8.6899995803833,6.989999771118164,26.308133435803796,1.598833882531456,,,,,,,,,6.980000019073486,5.679999828338623,7.099999904632568,5.5,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.003001,"['📋 Director', '💰 LARGE TRADE', '🌿 MID CAP', '🏥 Healthcare', '📉 BELOW CLOSE', '🚀 SPIKE +20% [7d]', '📈 ABOVE SMA20', '🟡 NEUTRAL (RSI)', '💪 STRONG TREND', '🟢 SUCCESSFUL TRADE C1', '🧩 MULTIPLE BUYS']",12.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
CALC,Roberts Eric W,2025-07-21,Buy,3.37,1500,5055,CHIEF BUSINESS OFFICER,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1534133/000141588925020111/xslF345X05/form4-07222025_040709.xml,3.130000114440918,3.490000009536743,3.539999961853028,3.0850000381469727,1.898749989271164,83.51067514994882,1.806249988079071,3.009999990463257,4.260000228881836,3.2709999084472656,26.40950234070729,-2.9376881766390053,4.260000228881836,2.75,26.40950234070729,-18.39762611275965,4.260000228881836,2.309999942779541,26.40950234070729,-31.454007632654573,3.200000047683716,2.0,3.200000047683716,1.5850000381469729,-0.1823529495912439,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000105,"['🧠 CBO', '🟢 SMALL TRADE', '🐣 MICRO CAP', '🏥 Healthcare', '📉 BELOW CLOSE', '🚀 SPIKE +20% [7d]', '🚀 SPIKE +20% [14d]', '🚀 SPIKE +20% [30d]', '📉 DIP -10% [14d]', '📉 DIP -20% [30d]', '📈 ABOVE SMA20', '🚀 OVERBOUGHT (RSI > 70)', '💪 STRONG TREND', '🟢 SUCCESSFUL TRADE C1', '🔁 CLUSTER BUY', '🧩 MULTIPLE BUYS']",14.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
CCO,MORENO ARTURO R,2025-08-01,Buy,1.04,1500000,1560000,10% Owner,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1045060/000095017025103021/xslF345X05/ownership.xml,1.100000023841858,1.0199999809265137,1.1100000143051147,1.0,1.1630000054836274,33.74316776709627,1.1740000069141387,1.059999942779541,1.25,1.0299999713897705,20.192307692307686,-0.96154121252207,1.25,1.0199999809265137,20.192307692307686,-1.9230787570659964,,,,,1.149999976158142,1.0399999618530271,1.25,1.0399999618530271,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.002963,"['🔟 10% Owner', '💰 LARGE TRADE', '🌱 SMALL CAP', '📞 Communication', '📈 ABOVE CLOSE', '🚀 SPIKE +20% [7d]', '🚀 SPIKE +20% [14d]', '📅 NEAR EARNINGS', '📉 BELOW SMA20', '🟡 NEUTRAL (RSI)', '📉 DIP SETUP', '🟢 SUCCESSFUL TRADE C1', '🧩 MULTIPLE BUYS']",12.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
CDXS,Opaleye Management Inc.,2025-07-31,Buy,2.68,84220,225710,10% Owner,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1200375/000164117225022060/xslF345X05/ownership.xml,2.7300000190734863,2.680000066757202,2.7799999713897705,2.650000095367432,2.918499970436096,45.56015563955789,2.9249999642372133,2.789999961853028,2.9600000381469727,2.5799999237060547,10.447762617424344,-3.731346130371099,3.869999885559082,2.5799999237060547,44.40298080444335,-3.731346130371099,,,,,3.3399999141693115,2.7699999809265137,3.390000104904175,2.7699999809265137,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.001017,"['🔟 10% Owner', '💰 LARGE TRADE', '🐣 MICRO CAP', '🏥 Healthcare', '🧨 CAUGHT THE KNIFE [7d]', '🚀 SPIKE +10% [7d]', '🚀 SPIKE +20% [14d]', '📅 NEAR EARNINGS', '📉 BELOW SMA20', '🟡 NEUTRAL (RSI)', '🟢 SUCCESSFUL TRADE C1', '🧩 MULTIPLE BUYS']",13.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
CLOV,Garipalli Vivek,2025-08-07,Buy,2.24,415000,929600,Director,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1801170/000180117025000207/xslF345X05/wk-form4_1754683623.xml,2.289999961853028,2.2100000381469727,2.3299999237060547,2.1600000858306885,,22.307051920094395,,2.259999990463257,2.6700000762939453,2.119999885559082,19.196431977408263,-5.357147966112418,,,,,,,,,3.0,2.130000114440918,3.5350000858306885,2.130000114440918,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000835,"['📋 Director', '🟢 SMALL TRADE', '🌱 SMALL CAP', '🏥 Healthcare', '📈 ABOVE CLOSE', '🚀 SPIKE +20% [7d]', '📉 DIP -5% [7d]', '🔻 OVERSOLD (RSI < 30)', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🟢 SUCCESSFUL TRADE C1', '🧩 MULTIPLE BUYS']",12.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
CTEV,Dalton Travis,2025-08-11,Buy,58.3,3982,232158,"Pres., CEO & Executive Chair",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1793229/000179322925000142/xslF345X05/wk-form4_1755029947.xml,57.54999923706055,61.61000061035156,61.88999938964844,56.65999984741211,,85.61430827988713,,56.810001373291016,72.65499877929688,61.57500076293945,24.622639415603565,5.617497020479342,,,,,,,,,57.005001068115234,38.310001373291016,57.005001068115234,37.869998931884766,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000229,"['👑 CEO', '🟢 SMALL TRADE', '🌱 SMALL CAP', '🏥 Healthcare', '📉 BELOW CLOSE', '🚀 SPIKE +20% [7d]', '🚀 OVERBOUGHT (RSI > 70)', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🟢 SUCCESSFUL TRADE C1', '🧩 MULTIPLE BUYS']",12.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
