ticker,insider_name,relationship,transaction_date,transaction_type,price,shares,value,shares_total,sec_form4
MTH,ARRIOLA DENNIS V,Director,2025-12-31,Buy,77.21,20,"1,544","7,220",https://finviz.com/http://www.sec.gov/Archives/edgar/data/833079/000083307925000123/xslF345X05/wk-form4_1753835879.xml
OSPN,Zenner Marc,Director,2025-08-08,Buy,12.8,2200,"28,160","71,273",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1044777/000156218025005694/xslF345X05/primarydocument.xml
PRGO,Lockwood-Taylor Patrick,CEO,2025-08-08,Buy,22.37,4460,"99,766","85,812",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1585364/000158536425000124/xslF345X05/wk-form4_1754667901.xml
AUB,Ellett Frank Russell,Director,2025-08-08,Buy,31.49,1441,"45,377","78,047",https://finviz.com/http://www.sec.gov/Archives/edgar/data/883948/000141588925021318/xslF345X05/form4-08082025_030819.xml
AIG,Inglis John C,Director,2025-08-08,Buy,77.04,653,"50,307","2,652",https://finviz.com/http://www.sec.gov/Archives/edgar/data/5272/000122520825007183/xslF345X05/doc4.xml
LLY,JACKSON JAMERE,Director,2025-08-08,Buy,639.56,200,"127,913","9,402",https://finviz.com/http://www.sec.gov/Archives/edgar/data/59478/000005947825000206/xslF345X05/wk-form4_1754684451.xml
OPK,FROST PHILLIP MD ET AL,CEO & Chairman,2025-08-08,Buy,1.32,675000,"891,000","214,676,448",https://finviz.com/http://www.sec.gov/Archives/edgar/data/898860/000095017025105971/xslF345X05/ownership.xml
CLOV,Garipalli Vivek,Director,2025-08-08,Buy,2.17,31980,"69,397","1,856,247",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1801170/000180117025000207/xslF345X05/wk-form4_1754683623.xml
MERC,Laberge Alice,Director,2025-08-08,Buy,2.98,2000,"5,957","12,065",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1333274/000184817425000002/xslF345X05/primary_doc.xml
BRO,KRUMP PAUL J,Director,2025-08-08,Buy,93.31,2678,"249,884","5,353",https://finviz.com/http://www.sec.gov/Archives/edgar/data/79282/000095017025106059/xslF345X05/ownership.xml
OSPN,Capers Garry L,Director,2025-08-08,Buy,13.07,2000,"26,139","36,894",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1044777/000156218025005695/xslF345X05/primarydocument.xml
TROX,Turgeon Jean Francois,Director,2025-08-07,Buy,3.21,31150,"100,027","772,572",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1530804/000114036125029887/xslF345X05/form4.xml
RCG,STAHL MURRAY,President/Co-Portfolio Manager,2025-08-07,Buy,2.64,774,"2,043","318,734",https://finviz.com/http://www.sec.gov/Archives/edgar/data/919567/000143774925025645/xslF345X05/rdgdoc.xml
MKZR,PATTERSON CHARLES E. II,General Counsel/Secretary,2025-08-07,Buy,4.64,7949,"36,883","30,508",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1550913/000155091325000110/xslF345X05/primary_doc.xml
UBFO,GILL JAGROOP,Director,2025-08-07,Buy,8.34,55814,"465,299","1,281,347",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1137547/000113754725000106/xslF345X05/wk-form4_1754602552.xml
MKZR,Sherpa Angche,Chief Financial Officer,2025-08-07,Buy,4.64,7949,"36,883","30,508",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1550913/000155091325000111/xslF345X05/primary_doc.xml
MKZR,Simpson Christine Elizabeth,Chief Portfolio Manager,2025-08-07,Buy,4.64,7949,"36,883","30,508",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1550913/000155091325000112/xslF345X05/primary_doc.xml
RVSB,Lightheart Charmaine,EVP/CRDEO,2025-08-07,Buy,4.92,508,"2,499","7,480",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1041368/000141588925021312/xslF345X05/form4-08082025_090801.xml
ALIT,Lopes Robert A. Jr.,Director,2025-08-07,Buy,4.4,2000,"8,799","65,951",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1809104/000162828025039148/xslF345X05/wk-form4_1754662946.xml
TPL,HORIZON KINETICS ASSET MANAGEM,10% Owner,2025-08-07,Buy,899.77,1,900,"1,163,970",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1056823/000143774925025604/xslF345X05/rdgdoc.xml
IFF,FRIBOURG PAUL J,Director,2025-08-07,Buy,64.8,15450,"1,001,183","15,450",https://finviz.com/http://www.sec.gov/Archives/edgar/data/51253/000122520825007187/xslF345X05/doc4.xml
PLMR,Notaras Martha,Director,2025-08-07,Buy,119.92,100,"11,992","7,870",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1761312/000121465925011726/xslF345X05/marketforms-70259.xml
MEC,Reddy Jagadeesh A,President & CEO,2025-08-07,Buy,14.06,7500,"105,450","146,285",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1766368/000089706925001269/xslF345X05/form4.xml
RCG,STAHL MURRAY,President/Co-Portfolio Manager,2025-08-07,Buy,2.64,356,940,"101,038",https://finviz.com/http://www.sec.gov/Archives/edgar/data/919567/000143774925025645/xslF345X05/rdgdoc.xml
GOVX,McKee Kelly T. Jr.,Chief Medical Officer,2025-08-07,Buy,0.67,1107,742,"3,494",https://finviz.com/http://www.sec.gov/Archives/edgar/data/832489/000143774925025690/xslF345X05/rdgdoc.xml
MERC,Laberge Alice,Director,2025-08-07,Buy,2.99,2000,"5,980","10,065",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1333274/000184817425000001/xslF345X05/primary_doc.xml
PNFP,INGRAM DAVID B,Director,2025-08-07,Buy,90.09,22000,"1,981,980","63,692",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1115055/000111505525000155/xslF345X05/wk-form4_1754680542.xml
VNDA,Polymeropoulos Mihael Hristos,President and CEO,2025-08-07,Buy,4.15,10000,"41,500","2,335,731",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1347178/000095017025105819/xslF345X05/ownership.xml
CLOV,Garipalli Vivek,Director,2025-08-07,Buy,2.24,415000,"929,600","1,824,267",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1801170/000180117025000207/xslF345X05/wk-form4_1754683623.xml
BWIN,Hale Bradford,Chief Financial Officer,2025-08-07,Buy,28.72,10000,"287,200","144,659",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1781755/000121465925011709/xslF345X05/marketforms-70260.xml
FUN,Hoffman Steven E,Director,2025-08-07,Buy,24.67,10058,"248,084","13,473",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1999001/000199900125000156/xslF345X05/wk-form4_1754689920.xml
ASAN,Moskovitz Dustin A.,Director,2025-08-07,Buy,14.1,223905,"3,157,016","55,979,904",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1477720/000147772025000182/xslF345X05/wk-form4_1754684816.xml
TMDX,Hassanein Waleed H,President & CEO,2025-08-07,Buy,116.25,8475,"985,209","486,234",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1430466/000095017025105907/xslF345X05/ownership.xml
SHEN,"ECP ControlCo, LLC",10% Owner,2025-08-07,Buy,12.71,25104,"319,082","3,191,550",https://finviz.com/http://www.sec.gov/Archives/edgar/data/354963/000164117225022778/xslF345X05/ownership.xml
SHEN,"ECP Fiber Holdings GP, LLC",10% Owner,2025-08-07,Buy,12.71,25104,"319,082","3,191,550",https://finviz.com/http://www.sec.gov/Archives/edgar/data/354963/000164117225022781/xslF345X05/ownership.xml
PTLO,Kaiser Kelly M,General Counsel and Secretary,2025-08-07,Buy,7.68,27000,"207,360","68,495",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1871509/000187150925000126/xslF345X05/wk-form4_1754685808.xml
PTLO,Hook Michelle Greig,CFO & Treasurer,2025-08-07,Buy,7.67,40000,"306,800","173,405",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1871509/000187150925000127/xslF345X05/wk-form4_1754685862.xml
PTLO,LEE EUGENE I JR,Director,2025-08-07,Buy,7.68,130250,"1,000,320","130,250",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1242843/000187150925000128/xslF345X05/wk-form4_1754685925.xml
DTM,Jewell Jeffrey A,"Executive V.P., CFO",2025-08-07,Buy,104.38,150,"15,657","64,380",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1722782/000114036125029661/xslF345X05/form4.xml
IFF,Fyrwald J Erik,Chief Executive Officer,2025-08-07,Buy,64.95,15300,"993,714","77,370",https://finviz.com/http://www.sec.gov/Archives/edgar/data/51253/000122520825007166/xslF345X05/doc4.xml
MKZR,FULLER GLEN W,Treasurer,2025-08-07,Buy,4.64,7949,"36,883","30,508",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1103014/000155091325000109/xslF345X05/primary_doc.xml
AUB,Ellett Frank Russell,Director,2025-08-07,Buy,31.54,5000,"157,700","76,606",https://finviz.com/http://www.sec.gov/Archives/edgar/data/883948/000141588925021269/xslF345X05/form4-08072025_080819.xml
KMPR,Gorevic Jason N,Director,2025-08-07,Buy,49.14,2000,"98,280","22,072",https://finviz.com/http://www.sec.gov/Archives/edgar/data/860748/000120850025000003/xslF345X05/wk-form4_1754585014.xml
KMPR,Flint Christopher Wade,"EVP, President, Kemper Life",2025-08-07,Buy,50.12,1000,"50,115","10,197",https://finviz.com/http://www.sec.gov/Archives/edgar/data/860748/000198937825000003/xslF345X05/wk-form4_1754589482.xml
KMPR,Canida Teresa Alvarez,Director,2025-08-07,Buy,48.96,2000,"97,920","28,521",https://finviz.com/http://www.sec.gov/Archives/edgar/data/860748/000146464925000007/xslF345X05/wk-form4_1754594503.xml
FXNC,Schwartz Brad E,EVP - CFO,2025-08-07,Buy,21.02,1000,"21,020","5,000",https://finviz.com/http://www.sec.gov/Archives/edgar/data/719402/000143774925025381/xslF345X05/rdgdoc.xml
AVBC,Jensen Barry H,EVP and Chief Admin Officer,2025-08-07,Buy,14.3,5000,"71,500","8,000",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1471290/000143774925025405/xslF345X05/rdgdoc.xml
AVBC,Cozzone Robert D,President & CEO,2025-08-07,Buy,14.3,1000,"14,300","1,000",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1586267/000143774925025409/xslF345X05/rdgdoc.xml
ARMK,ZILLMER JOHN J,Chief Executive Officer,2025-08-07,Buy,39.07,6387,"249,569","831,825",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1188262/000158450925000171/xslF345X05/wk-form4_1754597285.xml
TROX,Jones Stephen J,Director,2025-08-07,Buy,3.19,8000,"25,480","51,000",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1412239/000114036125029591/xslF345X05/form4.xml
LNW,Odell Jamie,Director,2025-08-07,Buy,78.81,8275,"652,154","8,275",https://finviz.com/http://www.sec.gov/Archives/edgar/data/750004/000095015725000650/xslF345X05/form4.xml
