ticker, insider_name                    , relationship                   , transaction_date, transaction_type, price  , shares , value       , shares_total , sec_form4                                                                                                                 , market_close_at_trade, high_plus_7d         , low_plus_7d         , max_gain_7d          , max_drawdown_7d      , high_plus_14d     , low_plus_14d      , max_gain_14d       , max_drawdown_14d   , high_plus_30d     , low_plus_30d      , max_gain_30d      , max_drawdown_30d     , high_minus_7d        , low_minus_7d        , high_minus_15d       , low_minus_15d       , tags                                                                                                                                                                                               , ownership_pct
TLRY  , Merton Carl A                   , Chief Financial Officer        , 2025-07-30      , Buy             ,    0.6 ,   33500, "19,939"    , "798,069"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1731348/000117184325004823/xslF345X05/ownership.xml             ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['💼 CFO', '🌱 SMALL CAP']"                                                                                                                                                                       , 3e-05
TLYS  , Shay Capital LLC                , 10% Owner                      , 2025-07-30      , Buy             ,    1.9 ,   25000, "47,512"    , "3,300,000"  , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1524025/000119380525001131/xslF345X05/e664749_4-tlys.xml        ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['🔟 10% Owner', '🟢 SMALL TRADE', '🐣 MICRO CAP']"                                                                                                                                               , 0.000856
OVLY  , HOLDER H RANDOLPH JR            , Director                       , 2025-07-30      , Buy             ,   27.0 ,     500, "13,500"    , "152,676"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1431567/000143774925023994/xslF345X05/rdgdoc.xml                ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['📋 Director', '🐣 MICRO CAP']"                                                                                                                                                                  , 6e-05
LEXX  , BUNKA CHRISTOPHER               , Director                       , 2025-07-30      , Buy             ,    0.91,   11900, "10,866"    , "281,912"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1103780/000134836225000016/xslF345X05/primary_doc.xml           ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['📋 Director', '🟢 SMALL TRADE', '🐣 MICRO CAP']"                                                                                                                                                , 0.000607
GAM   , Stark Eugene S                  , VP Administration/CCO/PFO      , 2025-07-30      , Buy             ,   56.92,     177, "10,075"    , "10,000"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/40417/000004041725000039/xslF345X05/primary_doc.xml             ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   58.18999862670898  ,  56.97999954223633  ,   58.18999862670898  ,  56.56999969482422  , "['🕵️ Other', '🌱 SMALL CAP']"                                                                                                                                                                     , 8e-06
SSB   , Froetscher Janet P              , Director                       , 2025-07-30      , Buy             ,   97.31,    3338, "324,821"   , "8,294"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/764038/000156218025005574/xslF345X05/primarydocument.xml        ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['📋 Director', '🌿 MID CAP']"                                                                                                                                                                    , 3.3e-05
EPD   , Montgomery William C            , Director                       , 2025-07-30      , Buy             ,   31.55,   16000, "504,864"   , "136,920"    , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1061219/000141588925020584/xslF345X05/form4-07302025_080756.xml ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,   31.940000534057617 ,  30.950000762939453 ,   31.940000534057617 ,  30.950000762939453 , "['📋 Director', '🌳 LARGE CAP']"                                                                                                                                                                  , 7e-06
TLRY  , SIMON IRWIN D                   , President and CEO              , 2025-07-30      , Buy             ,    0.61,  165000, "100,106"   , "3,941,633"  , https://finviz.com/http://www.sec.gov/Archives/edgar/data/922748/000117184325004845/xslF345X05/ownership.xml              ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['👑 CEO', '🟢 SMALL TRADE', '🌱 SMALL CAP']"                                                                                                                                                     , 0.000153
LEXX  , McKechnie William Edward        , Director                       , 2025-07-29      , Buy             ,    0.91,    5000, "4,532"     , "18,191"     , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1348362/000134836225000015/xslF345X05/primary_doc.xml           ,                      ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,                      ,                     ,                      ,                     , "['📋 Director', '🟢 SMALL TRADE', '🐣 MICRO CAP']"                                                                                                                                                , 0.000253
GSHD  , Jones Mark E. Jr.               , Chief Financial Officer        , 2025-07-29      , Buy             ,   86.08,    1149, "98,906"    , "3,491"      , https://finviz.com/http://www.sec.gov/Archives/edgar/data/1726978/000172697825000106/xslF345X05/wk-form4_1753909870.xml   ,   86.75              ,                      ,                     ,                      ,                      ,                   ,                   ,                    ,                    ,                   ,                   ,                   ,                      ,  104.0               ,  82.30999755859375  ,  104.0               ,  82.30999755859375  , "['💼 CFO', '🌿 MID CAP']"                                                                                                                                                                         , 2.9e-05
