ticker,insider_name,transaction_date,transaction_type,price,shares,value,relationship,sec_form4,market_open_at_trade,market_close_at_trade,high_at_trade,low_at_trade,sma_20_at_trade,rsi_14_at_trade,sma_20_prev,price_prev,high_plus_7d,low_plus_7d,max_gain_7d,max_drawdown_7d,high_plus_14d,low_plus_14d,max_gain_14d,max_drawdown_14d,high_plus_30d,low_plus_30d,max_gain_30d,max_drawdown_30d,high_minus_7d,low_minus_7d,high_minus_15d,low_minus_15d,final_gain_30d,case_2_outcome,atr_14,atr_14_pct,ownership_pct,tags,outcome_case_1,outcome_case_2,score,bucket
AARD,Lee Tien-Li,2025-09-12,Buy,8.5,5000,42516,Chief Executive Officer,http://www.sec.gov/Archives/edgar/data/1774857/000119312525202490/xslF345X05/ownership.xml,7.71999979019165,8.59000015258789,8.699999809265137,7.71999979019165,,,,7.789999961853027,,,,,,,,,,,,,8.989999771118164,7.5,9.38599967956543,7.5,,,0.7303571019853863,0.0850241081503768,0.000245,"['👑 CEO', '🟢 SMALL TRADE', '🐣 MICRO CAP', '🏥 Healthcare', '📉 BELOW CLOSE', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS']",,,11,High (8 - 11)
SHEN,"ECP ControlCo, LLC",2025-09-11,Buy,13.34,1803,24053,10% Owner,http://www.sec.gov/Archives/edgar/data/354963/000149315225013208/xslF345X05/ownership.xml,13.31999969482422,13.699999809265137,13.739999771118164,13.220000267028809,,,,13.270000457763672,,,,,,,,,,,,,14.3100004196167,12.84000015258789,14.3100004196167,12.670000076293944,,,0.4978572981698178,0.0363399492774535,3e-05,"['🔟 10% Owner', '🌱 SMALL CAP', '📞 Communication', '📉 BELOW CLOSE', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS']",,,8,High (8 - 11)
TPL,HORIZON KINETICS ASSET MANAGEM,2025-09-11,Buy,927.23,1,927,10% Owner,http://www.sec.gov/Archives/edgar/data/1056823/000143774925028908/xslF345X05/rdgdoc.xml,928.25,938.989990234375,941.9600219726562,925.8300170898438,,,,937.6300048828124,,,,,,,,,,,,,937.6400146484376,889.0499877929688,972.739990234375,889.0499877929688,,,27.25856236049108,0.0290296623435647,0.0,"['🔟 10% Owner', '🌳 LARGE CAP', '⚡ Energy', '📉 BELOW CLOSE', '⚠️ INSUFFICIENT DATA FOR MA/RSI']",,,3,Low Conviction (0 - 4)
BRT,GOULD FREDRIC H,2025-09-11,Buy,16.42,3532,57981,Director,http://www.sec.gov/Archives/edgar/data/14846/000121465925013662/xslF345X05/marketforms-70749.xml,16.110000610351562,16.43000030517578,16.479999542236328,16.110000610351562,,,,16.139999389648438,,,,,,,,,,,,,16.239999771118164,15.449999809265137,16.239999771118164,15.399999618530272,,,0.399285725184849,0.0243022348002675,0.00021,"['📋 Director', '🟢 SMALL TRADE', '🐣 MICRO CAP', '🏘️ Real Estate', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS']",,,6,Medium (5 - 7)
DGICA,DONEGAL MUTUAL INSURANCE CO,2025-09-11,Buy,19.45,16573,322424,10% Owner,http://www.sec.gov/Archives/edgar/data/800457/000093559625000011/xslF345X05/wk-form4_1757682478.xml,19.149999618530273,19.719999313354492,19.739999771118164,19.100000381469727,,,,19.100000381469727,,,,,,,,,,,,,19.549999237060547,18.5,19.549999237060547,17.31999969482422,,,0.4771428789411272,0.0241958871985357,0.000519,"['🔟 10% Owner', '🟢 SMALL TRADE', '🌱 SMALL CAP', '🏦 Financial', '📉 BELOW CLOSE', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS']",,,10,High (8 - 11)
SHEN,"ECP Fiber Holdings GP, LLC",2025-09-11,Buy,13.34,1803,24053,10% Owner,http://www.sec.gov/Archives/edgar/data/354963/000149315225013209/xslF345X05/ownership.xml,13.31999969482422,13.699999809265137,13.739999771118164,13.220000267028809,,,,13.270000457763672,,,,,,,,,,,,,14.3100004196167,12.84000015258789,14.3100004196167,12.670000076293944,,,0.4978572981698178,0.0363399492774535,3e-05,"['🔟 10% Owner', '🌱 SMALL CAP', '📞 Communication', '📉 BELOW CLOSE', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS']",,,8,High (8 - 11)
ENOV,McDonald Damien,2025-09-11,Buy,30.969999999999995,6457,199973,Chief Executive Officer,http://www.sec.gov/Archives/edgar/data/1420800/000095017025114315/xslF345X05/ownership.xml,30.440000534057617,31.579999923706055,31.63999938964844,30.440000534057617,,,,30.459999084472656,,,,,,,,,,,,,32.7599983215332,30.0,32.7599983215332,30.0,,,1.0935709817068922,0.0346285935512616,0.000118,"['👑 CEO', '🟢 SMALL TRADE', '🌱 SMALL CAP', '🏥 Healthcare', '📉 BELOW CLOSE', '⚠️ INSUFFICIENT DATA FOR MA/RSI']",,,10,High (8 - 11)
AARD,Lee Tien-Li,2025-09-10,Buy,7.91,9000,71212,Chief Executive Officer,http://www.sec.gov/Archives/edgar/data/1774857/000119312525202490/xslF345X05/ownership.xml,7.949999809265137,8.0,8.270000457763672,7.699999809265137,,,9.382499933242798,7.909999847412109,,,,,,,,,,,,,9.09000015258789,7.650000095367432,9.718999862670898,7.650000095367432,,,0.6819285324641634,0.0852410665580204,0.00041,"['👑 CEO', '🟢 SMALL TRADE', '🐣 MICRO CAP', '🏥 Healthcare', '📉 BELOW CLOSE', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS']",,,11,High (8 - 11)
BRT,GOULD FREDRIC H,2025-09-10,Buy,15.96,15649,249730,Director,http://www.sec.gov/Archives/edgar/data/14846/000121465925013662/xslF345X05/marketforms-70749.xml,15.899999618530272,16.139999389648438,16.239999771118164,15.8100004196167,,,,15.949999809265137,,,,,,,,,,,,,15.989999771118164,15.399999618530272,16.0,15.399999618530272,,,0.3971429552350724,0.0246061319859642,0.000905,"['📋 Director', '🟢 SMALL TRADE', '🐣 MICRO CAP', '🏘️ Real Estate', '📉 BELOW CLOSE', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🧩 MULTIPLE BUYS']",,,6,Medium (5 - 7)
TPL,HORIZON KINETICS ASSET MANAGEM,2025-09-10,Buy,923.41,1,923,10% Owner,http://www.sec.gov/Archives/edgar/data/1056823/000143774925028828/xslF345X05/rdgdoc.xml,908.1699829101562,937.6300048828124,937.6400146484376,908.1699829101562,,,,900.1199951171875,,,,,,,,,,,,,934.3400268554688,889.0499877929688,972.739990234375,888.8400268554688,,,27.74499075753349,0.0295905534305092,0.0,"['🔟 10% Owner', '🌳 LARGE CAP', '⚡ Energy', '📉 BELOW CLOSE', '⚠️ INSUFFICIENT DATA FOR MA/RSI']",,,3,Low Conviction (0 - 4)
