insider_name,title,type,security,shares,price,value,code,filing_date
Grossman Adam S,President and CEO,Sell,Common Stock,15000.0,5.4,81000.0,M,2025-07-16
Grossman Adam S,President and CEO,Sell,Common Stock,6000.0,18.66,111960.0,S,2025-07-16
Grossman Adam S,President and CEO,Sell,Common Stock,15000.0,18.66,279900.0,S,2025-07-16
Tade Brad L.,CFO and Treasurer,Sell,Common Stock,9838.0,18.4,181019.2,F,2025-06-30
Grossman Adam S,President and CEO,Sell,Common Stock,6000.0,20.81,124860.0,S,2025-06-18
Grossman Adam S,President and CEO,Sell,Common Stock,15000.0,5.4,81000.0,M,2025-06-18
Grossman Adam S,President and CEO,Sell,Common Stock,15000.0,20.81,312150.0,S,2025-06-18
ELMS STEVE,Unknown,Sell,Common Stock,92941.0,21.69,2015890.29,S,2025-06-16
ELMS STEVE,Unknown,Sell,Common Stock,9000.0,5.96,53640.0,M,2025-06-16
ELMS STEVE,Unknown,Sell,Common Stock,10000.0,5.0,50000.0,M,2025-06-16
ELMS STEVE,Unknown,Sell,Common Stock,53837.0,3.66,197043.42,M,2025-06-16
ELMS STEVE,Unknown,Sell,Common Stock,17500.0,4.91,85925.0,M,2025-06-16
ELMS STEVE,Unknown,Sell,Common Stock,15000.0,2.915,43725.0,M,2025-06-16
ELMS STEVE,Unknown,Sell,Common Stock,55000.0,2.35,129250.0,M,2025-06-16
ELMS STEVE,Unknown,Sell,Common Stock,53172.0,1.67,88797.24,M,2025-06-16
ELMS STEVE,Unknown,Sell,Common Stock,51630.0,3.35,172960.5,M,2025-06-16
ELMS STEVE,Unknown,Sell,Common Stock,37541.0,5.4,202721.4,M,2025-06-16
ELMS STEVE,Unknown,Sell,Common Stock,137931.0,20.82,2871723.42,S,2025-06-16
ELMS STEVE,Unknown,Sell,Common Stock,194749.0,20.24,3941719.76,S,2025-06-16
ELMS STEVE,Unknown,Sell,Common Stock,30000.0,3.89,116700.0,M,2025-06-16
Guiheen Lawrence P.,Unknown,Sell,Common Stock,20000.0,20.96,419200.0,S,2025-06-11
Grossman Jerrold B,Unknown,Sell,Common Stock,10000.0,21.31,213100.0,S,2025-06-10
Grossman Jerrold B,Unknown,Sell,Common Stock,10000.0,5.0,50000.0,M,2025-06-10
Guiheen Lawrence P.,Unknown,Sell,Common Stock,7779.0,5.96,46362.84,M,2025-05-23
Guiheen Lawrence P.,Unknown,Sell,Common Stock,7779.0,20.32,158069.28,S,2025-05-23
Guiheen Lawrence P.,Unknown,Sell,Common Stock,1221.0,5.96,7277.16,M,2025-05-23
Guiheen Lawrence P.,Unknown,Sell,Common Stock,1221.0,20.12,24566.52,S,2025-05-23
Grossman Adam S,President and CEO,Sell,Common Stock,15000.0,5.4,81000.0,M,2025-05-16
Grossman Adam S,President and CEO,Sell,Common Stock,15000.0,19.45,291750.0,S,2025-05-16
Grossman Adam S,President and CEO,Sell,Common Stock,6000.0,19.45,116700.0,S,2025-05-16
Grossman Adam S,President and CEO,Sell,Common Stock,15000.0,5.4,81000.0,M,2025-04-16
Grossman Adam S,President and CEO,Sell,Common Stock,15000.0,21.46,321900.0,S,2025-04-16
Grossman Adam S,President and CEO,Sell,Common Stock,6000.0,21.46,128760.0,S,2025-04-16
Kestenberg-Messina Kaitlin M.,"COO and SVP, Compliance",Sell,Common Stock,18920.0,19.42,367426.4,F,2025-04-02
Grossman Adam S,President and CEO,Sell,Common Stock,15000.0,5.4,81000.0,M,2025-03-21
Grossman Adam S,President and CEO,Sell,Common Stock,15000.0,18.92,283800.0,S,2025-03-21
Grossman Adam S,President and CEO,Sell,Common Stock,6000.0,18.92,113520.0,S,2025-03-21
Grossman Adam S,President and CEO,Sell,Common Stock,56438.0,16.91,954366.58,F,2025-03-10
Grossman Adam S,President and CEO,Sell,Common Stock,29513.0,17.02,502311.26,F,2025-03-10
Kestenberg-Messina Kaitlin M.,"COO and SVP, Compliance",Sell,Common Stock,8881.0,16.91,150177.71,F,2025-03-10
Kestenberg-Messina Kaitlin M.,"COO and SVP, Compliance",Sell,Common Stock,3935.0,17.02,66973.7,F,2025-03-10
Tade Brad L.,CFO and Treasurer,Sell,Common Stock,5280.0,15.78,83318.4,F,2025-02-27
