insider_name,title,type,security,shares,price,value,code,filing_date
Bushman Julie L,Unknown,Sell,Ordinary Shares,10118.0,0.0,0.0,A,2025-03-13
Eddy Jodi Euerle,Unknown,Sell,Ordinary Shares,10118.0,0.0,0.0,A,2025-03-13
GUTIERREZ JOSE M,Unknown,Sell,Ordinary Shares,10118.0,0.0,0.0,A,2025-03-13
Goodman Richard,Unknown,Sell,Ordinary Shares,10118.0,0.0,0.0,A,2025-03-13
Henderson Frederick A.,Unknown,Sell,Ordinary Shares,16050.0,0.0,0.0,A,2025-03-13
SAMARDZICH BARB J,Unknown,Sell,Ordinary Shares,10118.0,0.0,0.0,A,2025-03-13
Carlin Peter,Unknown,Sell,Ordinary Shares,10118.0,0.0,0.0,A,2025-03-13
OSWALD MARK A,EVP and CFO,Sell,Ordinary Shares,1342.0,16.88,22652.96,F,2025-02-11
Dorlack Jerome J.,President and CEO,Sell,Ordinary Shares,6262.0,16.88,105702.56,F,2025-02-11
Dorlack Jerome J.,President and CEO,Sell,Ordinary Shares,16540.0,0.0,0.0,A,2025-01-03
Dorlack Jerome J.,President and CEO,Sell,Ordinary Shares,2658.0,17.23,45797.34,F,2025-01-03
Conklin James,"EVP, Americas",Sell,Ordinary Shares,11500.0,20.25,232875.0,S,2024-12-05
OSWALD MARK A,EVP and CFO,Sell,Ordinary Shares,312.0,19.75,6162.0,F,2024-11-20
Huang Jian James,"EVP, APAC",Sell,Ordinary Shares,3017.0,0.0,0.0,M,2024-11-20
Tiltmann Heather M,"EVP, CLO, CHRO & Secretary",Sell,Ordinary Shares,1338.0,19.75,26425.5,F,2024-11-20
Smith Gregory Scott,SVP & Chief Accounting Officer,Sell,Ordinary Shares,272.0,19.75,5372.0,F,2024-11-20
Huang Jian James,"EVP, APAC",Sell,Ordinary Shares,3017.0,19.75,59585.75,D,2024-11-20
Marianos Stephanie S,"EVP, Global IT & Bus. Services",Sell,Ordinary Shares,312.0,19.75,6162.0,F,2024-11-20
Berthelin Michel Pierre Rose,"EVP, EMEA",Sell,Ordinary Shares,1672.0,19.75,33022.0,F,2024-11-20
Dorlack Jerome J.,President and CEO,Sell,Ordinary Shares,2193.0,19.75,43311.75,F,2024-11-20
Conklin James,"EVP, Americas",Sell,Ordinary Shares,487.0,19.75,9618.25,F,2024-11-20
