insider_name,title,type,security,shares,price,value,code,filing_date
Rosenblum Benjamin G.,CFO,Sell,Common Shares,1252.0,86.64,108473.28,F,2025-07-03
FREDERICO DOMINIC,President/CEO/Deputy Chairman,Sell,Common Shares,25085.0,0.0,0.0,G,2025-06-20
FREDERICO DOMINIC,President/CEO/Deputy Chairman,Sell,Common Shares,71917.0,86.11,6192772.87,S,2025-05-21
FREDERICO DOMINIC,President/CEO/Deputy Chairman,Sell,Common Shares,10438.0,86.13,899024.94,S,2025-05-21
Bieling Laura,Chief Accounting Officer,Sell,Common Shares,2649.0,87.76,232476.24,S,2025-05-14
Kreczko Alan J,,Sell,Common Shares,3824.0,0.0,0.0,A,2025-05-05
Batten Mark,,Sell,Common Shares,2177.0,0.0,0.0,A,2025-05-05
Batten Mark,,Sell,Common Shares,910.0,87.51,79634.1,F,2025-05-05
Batten Mark,,Sell,Common Shares,465.0,87.51,40692.15,F,2025-05-05
BORGES FRANCISCO L,,Sell,Common Shares,5765.0,0.0,0.0,A,2025-05-05
BORGES FRANCISCO L,,Sell,Common Shares,1295.0,87.51,113325.45,F,2025-05-05
Howard Bonnie L.,,Sell,Common Shares,1706.0,0.0,0.0,A,2025-05-05
Howard Bonnie L.,,Sell,Common Shares,371.0,87.51,32466.21,F,2025-05-05
JONES THOMAS W,,Sell,Common Shares,1706.0,0.0,0.0,A,2025-05-05
JONES THOMAS W,,Sell,Common Shares,371.0,87.51,32466.21,F,2025-05-05
Bieling Laura,Chief Accounting Officer,Sell,Common Shares,909.0,90.18,81973.62,F,2025-05-05
Kreczko Alan J,,Sell,Common Shares,853.0,87.51,74646.03,F,2025-05-05
Omura Yukiko,,Sell,Common Shares,1706.0,0.0,0.0,A,2025-05-05
Omura Yukiko,,Sell,Common Shares,759.0,87.51,66420.09,F,2025-05-05
Radtke Lorin,,Sell,Common Shares,1706.0,0.0,0.0,A,2025-05-05
Radtke Lorin,,Sell,Common Shares,371.0,87.51,32466.21,F,2025-05-05
Rosenblum Benjamin G.,CFO,Sell,Common Shares,7380.0,90.18,665528.4,F,2025-05-05
Ursano Antonio Jr.,,Sell,Common Shares,1706.0,0.0,0.0,A,2025-05-05
Rosenblum Benjamin G.,CFO,Sell,Common Shares,638.0,87.51,55831.38,F,2025-05-05
Shea Courtney C.,,Sell,Common Shares,1706.0,0.0,0.0,A,2025-05-05
Shea Courtney C.,,Sell,Common Shares,371.0,87.51,32466.21,F,2025-05-05
Bieling Laura,Chief Accounting Officer,Sell,Common Shares,407.0,90.8,36955.6,F,2025-02-26
Gana Jorge A.,Chief Risk Officer,Sell,Common Shares,308.0,90.8,27966.4,F,2025-02-26
Horn Holly,Chief Surveillance Officer,Sell,Common Shares,343.0,90.8,31144.4,F,2025-02-26
Donnarumma Stephen,Chief Credit Officer,Sell,Common Shares,7289.0,90.8,661841.2,F,2025-02-26
Rosenblum Benjamin G.,CFO,Sell,Common Shares,1556.0,90.8,141284.8,F,2025-02-26
Chow Ling,General Counsel and Secretary,Sell,Common Shares,13455.0,90.8,1221714.0,F,2025-02-26
FREDERICO DOMINIC,President/CEO/Deputy Chairman,Sell,Common Shares,57632.0,90.8,5232985.6,F,2025-02-26
Bailenson Robert,Chief Operating Officer,Sell,Common Shares,16303.0,90.8,1480312.4,F,2025-02-26
Bailenson Robert,Chief Operating Officer,Sell,Common Shares,17404.0,0.0,0.0,A,2025-02-24
FREDERICO DOMINIC,President/CEO/Deputy Chairman,Sell,Common Shares,85598.0,0.0,0.0,A,2025-02-24
FREDERICO DOMINIC,President/CEO/Deputy Chairman,Sell,Common Shares,32701.0,89.81,2936876.81,F,2025-02-24
FREDERICO DOMINIC,President/CEO/Deputy Chairman,Sell,Common Shares,80110.0,0.0,0.0,A,2025-02-24
FREDERICO DOMINIC,President/CEO/Deputy Chairman,Sell,Common Shares,21841.0,89.81,1961540.21,F,2025-02-24
Donnarumma Stephen,Chief Credit Officer,Sell,Common Shares,7674.0,0.0,0.0,A,2025-02-24
Donnarumma Stephen,Chief Credit Officer,Sell,Common Shares,3972.0,89.81,356725.32,F,2025-02-24
Donnarumma Stephen,Chief Credit Officer,Sell,Common Shares,7182.0,0.0,0.0,A,2025-02-24
Donnarumma Stephen,Chief Credit Officer,Sell,Common Shares,2689.0,89.81,241499.09,F,2025-02-24
Bailenson Robert,Chief Operating Officer,Sell,Common Shares,18596.0,0.0,0.0,A,2025-02-24
Bailenson Robert,Chief Operating Officer,Sell,Common Shares,8885.0,89.81,797961.85,F,2025-02-24
Bieling Laura,Chief Accounting Officer,Sell,Common Shares,397.0,89.81,35654.57,F,2025-02-24
Bailenson Robert,Chief Operating Officer,Sell,Common Shares,5936.0,89.81,533112.16,F,2025-02-24
Chow Ling,General Counsel and Secretary,Sell,Common Shares,7333.0,89.81,658576.73,F,2025-02-24
Chow Ling,General Counsel and Secretary,Sell,Common Shares,13260.0,0.0,0.0,A,2025-02-24
Chow Ling,General Counsel and Secretary,Sell,Common Shares,4927.0,89.81,442493.87,F,2025-02-24
Rosenblum Benjamin G.,CFO,Sell,Common Shares,1220.0,89.81,109568.2,F,2025-02-24
Rosenblum Benjamin G.,CFO,Sell,Common Shares,1706.0,89.81,153215.86,F,2025-02-24
Horn Holly,Chief Surveillance Officer,Sell,Common Shares,489.0,89.81,43917.09,F,2025-02-24
Gana Jorge A.,Chief Risk Officer,Sell,Common Shares,316.0,89.81,28379.96,F,2025-02-24
Gana Jorge A.,Chief Risk Officer,Sell,Common Shares,399.0,89.81,35834.19,F,2025-02-24
Bieling Laura,Chief Accounting Officer,Sell,Common Shares,409.0,89.81,36732.29,F,2025-02-24
Chow Ling,General Counsel and Secretary,Sell,Common Shares,14168.0,0.0,0.0,A,2025-02-24
Bieling Laura,Chief Accounting Officer,Sell,Common Shares,2197.0,0.0,0.0,A,2025-02-21
FREDERICO DOMINIC,President/CEO/Deputy Chairman,Sell,Common Shares,38449.0,0.0,0.0,A,2025-02-21
Rosenblum Benjamin G.,CFO,Sell,Common Shares,7690.0,0.0,0.0,A,2025-02-21
Horn Holly,Chief Surveillance Officer,Sell,Common Shares,3955.0,0.0,0.0,A,2025-02-21
Gana Jorge A.,Chief Risk Officer,Sell,Common Shares,3515.0,0.0,0.0,A,2025-02-21
Donnarumma Stephen,Chief Credit Officer,Sell,Common Shares,4394.0,0.0,0.0,A,2025-02-21
Bailenson Robert,Chief Operating Officer,Sell,Common Shares,32956.0,0.0,0.0,A,2025-02-21
Bailenson Robert,Chief Operating Officer,Sell,Common Shares,14061.0,0.0,0.0,A,2025-02-21
Chow Ling,General Counsel and Secretary,Sell,Common Shares,16478.0,0.0,0.0,A,2025-02-21
Chow Ling,General Counsel and Secretary,Sell,Common Shares,8788.0,0.0,0.0,A,2025-02-21
FREDERICO DOMINIC,President/CEO/Deputy Chairman,Sell,Common Shares,34000.0,88.33,3003220.0,S,2024-12-11
