insider_name,title,type,security,shares,price,value,code,filing_date
Werner Sean,Chief Technology Officer,Sell,Common Stock,1115.0,21.22,23660.3,S,2025-07-22
Foster Karen A.,Chief Quality and Operations,Sell,Common Stock,400.0,22.27,8908.0,S,2025-07-09
Wichterman Troy,Chief Financial Officer,Sell,Common Stock,877.0,22.27,19530.79,S,2025-07-09
Mathew Aby J.,EVP & Chief Scientific Officer,Sell,Common Stock,536.0,22.27,11936.72,S,2025-07-09
Berard Todd,Chief Marketing Officer,Sell,Common Stock,304.0,22.27,6770.08,S,2025-07-09
Aebersold Sarah,Chief Human Resources Officer,Sell,Common Stock,198.0,22.27,4409.46,S,2025-07-09
Aebersold Sarah,Chief Human Resources Officer,Sell,Common Stock,711.0,22.23,15805.53,S,2025-06-18
Wichterman Troy,Chief Financial Officer,Sell,Common Stock,1042.0,23.7,24695.4,S,2025-06-12
Foster Karen A.,Chief Quality and Operations,Sell,Common Stock,320.0,23.7,7584.0,S,2025-06-12
Aebersold Sarah,Chief Human Resources Officer,Sell,Common Stock,235.0,23.7,5569.5,S,2025-06-12
Werner Sean,Chief Technology Officer,Sell,Common Stock,65.0,23.7,1540.5,S,2025-06-12
Mathew Aby J.,EVP & Chief Scientific Officer,Sell,Common Stock,637.0,23.7,15096.9,S,2025-06-12
Berard Todd,Chief Marketing Officer,Sell,Common Stock,362.0,23.7,8579.4,S,2025-06-12
"Casdin Partners Master Fund, L.P.",,Sell,"Common Stock, par value $0.001 per share",1000000.0,23.8,23800000.0,S,2025-06-12
Foster Karen A.,Chief Quality and Operations,Sell,Common Stock,251.0,22.46,5637.46,S,2025-05-30
Aebersold Sarah,Chief Human Resources Officer,Sell,Common Stock,217.0,22.46,4873.82,S,2025-05-30
Berard Todd,Chief Marketing Officer,Sell,Common Stock,348.0,22.46,7816.08,S,2025-05-30
Mathew Aby J.,EVP & Chief Scientific Officer,Sell,Common Stock,521.0,22.46,11701.66,S,2025-05-30
Mathew Aby J.,EVP & Chief Scientific Officer,Sell,Common Stock,45269.0,0.0,0.0,A,2025-05-30
Werner Sean,Chief Technology Officer,Sell,Common Stock,109.0,22.46,2448.14,S,2025-05-30
Wichterman Troy,Chief Financial Officer,Sell,Common Stock,583.0,22.46,13094.18,S,2025-05-30
Berard Todd,Chief Marketing Officer,Sell,Common Stock,324.0,20.11,6515.64,S,2025-04-11
Foster Karen A.,Chief Quality and Operations,Sell,Common Stock,286.0,20.11,5751.46,S,2025-04-11
Wichterman Troy,Chief Financial Officer,Sell,Common Stock,932.0,20.11,18742.52,S,2025-04-11
Aebersold Sarah,Chief Human Resources Officer,Sell,Common Stock,210.0,20.11,4223.1,S,2025-04-11
Mathew Aby J.,EVP & Chief Scientific Officer,Sell,Common Stock,569.0,20.11,11442.59,S,2025-04-11
"Casdin Partners Master Fund, L.P.",,Sell,"Common Stock, par value $.001 per share",27994.0,0.0,0.0,J,2025-04-09
Aebersold Sarah,Chief Human Resources Officer,Sell,Common Stock,5771.0,22.66,130770.86,S,2025-04-03
Berard Todd,Chief Marketing Officer,Sell,Common Stock,8902.0,22.66,201719.32,S,2025-04-03
Wichterman Troy,Chief Financial Officer,Sell,Common Stock,25687.0,22.66,582067.42,S,2025-04-03
Foster Karen A.,Chief Quality and Operations,Sell,Common Stock,7869.0,22.66,178311.54,S,2025-04-03
Mathew Aby J.,EVP & Chief Scientific Officer,Sell,Common Stock,10589.0,22.66,239946.74,S,2025-04-03
Hunt Anthony,Unknown,Sell,Common Stock,6876.0,0.0,0.0,A,2025-03-20
Ellingson Rachel,Unknown,Sell,Common Stock,6876.0,0.0,0.0,A,2025-03-20
Foster Karen A.,Chief Quality and Operations,Sell,Common Stock,29711.0,0.0,0.0,A,2025-03-20
Foster Karen A.,Chief Quality and Operations,Sell,Common Stock,19099.0,0.0,0.0,A,2025-03-20
MOORE TIMOTHY L.,Unknown,Sell,Common Stock,6876.0,0.0,0.0,A,2025-03-20
Aebersold Sarah,Chief Human Resources Officer,Sell,Common Stock,21789.0,0.0,0.0,A,2025-03-20
Coste Catherine,Unknown,Sell,Common Stock,5701.0,0.0,0.0,A,2025-03-20
DuRoss Amy,Unknown,Sell,Common Stock,6876.0,0.0,0.0,A,2025-03-20
DuRoss Amy,Unknown,Sell,Common Stock,5632.0,24.96,140574.72,S,2025-03-20
Aebersold Sarah,Chief Human Resources Officer,Sell,Common Stock,15279.0,0.0,0.0,A,2025-03-20
Aebersold Sarah,Chief Human Resources Officer,Sell,Common Stock,2695.0,25.44,68560.8,S,2025-03-20
