insider_name,title,type,security,shares,price,value,code,filing_date
Caplan Lindsey S,Chief Accounting Officer,Sell,Class A Common Stock,1935.0,140.0,270900.0,S,2025-06-26
Caplan Lindsey S,Chief Accounting Officer,Sell,Class A Common Stock,1497.0,140.0,209580.0,S,2025-06-26
Goodman Shira,Unknown,Sell,Class A Common Stock,2068.0,0.0,0.0,A,2025-05-23
Soni Gunjan,Unknown,Sell,Class A Common Stock,2068.0,0.0,0.0,A,2025-05-23
Metcalfe Guy A,Unknown,Sell,Class A Common Stock,2068.0,0.0,0.0,A,2025-05-23
LOPEZ GERARDO I,Unknown,Sell,Class A Common Stock,2068.0,0.0,0.0,A,2025-05-23
Boze Brandon B,Unknown,Sell,Class A Common Stock,2068.0,0.0,0.0,A,2025-05-23
Goodman Shira,Unknown,Sell,Class A Common Stock,2455.0,0.0,0.0,G,2025-05-23
Goodman Shira,Unknown,Sell,Class A Common Stock,2455.0,0.0,0.0,G,2025-05-23
Sanjiv Yajnik,Unknown,Sell,Class A Common Stock,2455.0,0.0,0.0,G,2025-05-23
Sanjiv Yajnik,Unknown,Sell,Class A Common Stock,2455.0,0.0,0.0,G,2025-05-23
Sanjiv Yajnik,Unknown,Sell,Class A Common Stock,2068.0,0.0,0.0,A,2025-05-23
GILYARD REGINALD HAROLD,Unknown,Sell,Class A Common Stock,2455.0,0.0,0.0,G,2025-05-23
GILYARD REGINALD HAROLD,Unknown,Sell,Class A Common Stock,2455.0,0.0,0.0,G,2025-05-23
GILYARD REGINALD HAROLD,Unknown,Sell,Class A Common Stock,2068.0,0.0,0.0,A,2025-05-23
Cobert Beth F.,Unknown,Sell,Class A Common Stock,2455.0,0.0,0.0,G,2025-05-23
Cobert Beth F.,Unknown,Sell,Class A Common Stock,2455.0,0.0,0.0,G,2025-05-23
Cobert Beth F.,Unknown,Sell,Class A Common Stock,2068.0,0.0,0.0,A,2025-05-23
Giamartino Emma E.,Chief Financial Officer,Sell,Class A Common Stock,1972.0,129.1,254585.2,S,2025-05-21
Doellinger Chad J,Chief Legal & Admin. Officer,Sell,Class A Common Stock,494.0,126.05,62268.7,S,2025-05-05
Doellinger Chad J,Chief Legal & Admin. Officer,Sell,Class A Common Stock,133.0,125.91,16746.03,S,2025-05-05
Doellinger Chad J,Chief Legal & Admin. Officer,Sell,Class A Common Stock,180.0,123.52,22233.6,F,2025-05-05
Caplan Lindsey S,Chief Accounting Officer,Sell,Class A Common Stock,371.0,123.52,45825.92,F,2025-05-05
