insider_name,title,type,security,shares,price,value,code,filing_date
KEMPER JONATHAN M,Unknown,Sell,Common Stock,820.0,62.3136,51097.15,A,2025-06-26
BARTH KEVIN G,Executive Vice President,Sell,Common Stock,99.0,62.3136,6169.05,A,2025-06-26
KEMPER DAVID W,Executive Chairman,Sell,Common Stock,109.0,62.3136,6792.18,A,2025-06-26
DUNN TIMOTHY S,Unknown,Sell,Common Stock,595.0,63.01,37490.95,A,2025-06-03
BASSHAM TERRY D,Unknown,Sell,Common Stock,595.0,63.01,37490.95,A,2025-06-03
CHAPMAN WILLIAM KYLE,Unknown,Sell,Common Stock,535.0,63.01,33710.35,A,2025-06-03
Daniel Karen L,Unknown,Sell,Common Stock,734.0,63.01,46249.34,A,2025-06-03
BRAUER BLACKFORD F,Unknown,Sell,Common Stock,595.0,63.01,37490.95,A,2025-06-03
FOWLER JUNE MCALLISTER,Unknown,Sell,Common Stock,535.0,63.01,33710.35,A,2025-06-03
RASSIEUR BENJAMIN F III,Unknown,Sell,Common Stock,615.0,63.01,38751.15,A,2025-06-03
Schnuck Todd R,Unknown,Sell,Common Stock,655.0,63.01,41271.55,A,2025-06-03
TAYLOR CHRISTINE B,Unknown,Sell,Common Stock,536.0,63.01,33773.36,A,2025-06-03
KEMPER JONATHAN M,Unknown,Sell,Common Stock,515.0,63.01,32450.15,A,2025-06-03
Kellerhals Patricia R,Senior Vice President,Sell,Common Stock,1000.0,65.62,65620.0,S,2025-05-14
FOWLER JUNE MCALLISTER,Unknown,Sell,Common Stock,1618.0,60.723,98249.81,S,2025-05-05
KEMPER JONATHAN M,Unknown,Sell,Common Stock,812.0,62.6391,50862.95,A,2025-03-27
KEMPER DAVID W,Executive Chairman,Sell,Common Stock,107.0,62.6391,6702.38,A,2025-03-27
BARTH KEVIN G,Executive Vice President,Sell,Common Stock,99.0,62.6391,6201.27,A,2025-03-27
ROWE MARGARET M,Senior Vice President,Sell,Common Stock,250.0,61.916,15479.0,S,2025-03-07
JAKOVICH KIM L,Senior Vice President,Sell,Common Stock,111.0,62.75,6965.25,F,2025-03-06
ROWE MARGARET M,Senior Vice President,Sell,Common Stock,114.0,62.75,7153.5,F,2025-03-06
STEINER PAUL A,Controller,Sell,Common Stock,385.0,0.0,0.0,A,2025-03-05
STEINER PAUL A,Controller,Sell,Common Stock,115.0,62.75,7216.25,F,2025-03-05
HEISE RICHARD W,Senior Vice President,Sell,Common Stock,366.0,64.82,23724.12,F,2025-03-05
HEISE RICHARD W,Senior Vice President,Sell,Common Stock,172.0,62.75,10793.0,F,2025-03-05
DEVANNY EARL H III,Unknown,Sell,Common Stock,634.0,65.05,41241.7,A,2025-03-04
KEMPER JONATHAN M,Unknown,Sell,Common Stock,500.0,65.05,32525.0,A,2025-03-04
TAYLOR CHRISTINE B,Unknown,Sell,Common Stock,519.0,65.05,33760.95,A,2025-03-04
BRAUER BLACKFORD F,Unknown,Sell,Common Stock,577.0,65.05,37533.85,A,2025-03-04
CHAPMAN WILLIAM KYLE,Unknown,Sell,Common Stock,519.0,65.05,33760.95,A,2025-03-04
BASSHAM TERRY D,Unknown,Sell,Common Stock,577.0,65.05,37533.85,A,2025-03-04
Daniel Karen L,Unknown,Sell,Common Stock,576.0,65.05,37468.8,A,2025-03-04
FOWLER JUNE MCALLISTER,Unknown,Sell,Common Stock,519.0,65.05,33760.95,A,2025-03-04
RASSIEUR BENJAMIN F III,Unknown,Sell,Common Stock,634.0,65.05,41241.7,A,2025-03-04
Schnuck Todd R,Unknown,Sell,Common Stock,577.0,65.05,37533.85,A,2025-03-04
KEMPER JONATHAN M,Unknown,Sell,Common Stock,43510.0,64.09,2788555.9,I,2025-03-03
KIM CHARLES G,Exec. Vice President and CFO,Sell,Common Stock,13493.0,67.757,914245.2,S,2025-02-11
Roller David L.,Senior Vice President,Sell,Common Stock,3348.0,67.81,227027.88,S,2025-02-06
Orf David L,Exec. Vice President & CCO,Sell,Common Stock,1036.0,68.237,70693.53,S,2025-02-06
Roller David L.,Senior Vice President,Sell,Common Stock,1587.0,65.87,104535.69,F,2025-02-05
Petersen Paula S,Senior Vice President,Sell,Common Stock,1030.0,65.87,67846.1,F,2025-02-05
Orf David L,Exec. Vice President & CCO,Sell,Common Stock,567.0,65.87,37348.29,F,2025-02-05
