insider_name,title,type,security,shares,price,value,code,filing_date
Koeppen Christopher,EVP of Aerospace & Defense,Sell,Common Stock,500.0,94.594,47297.0,S,2025-07-18
Koeppen Christopher,EVP of Aerospace & Defense,Sell,Common Stock,1196.0,97.8001,116968.92,S,2025-07-18
Koeppen Christopher,EVP of Aerospace & Defense,Sell,Common Stock,3100.0,100.0,310000.0,S,2025-07-18
Koeppen Christopher,EVP of Aerospace & Defense,Sell,Common Stock,2600.0,95.9857,249562.82,S,2025-07-18
Koeppen Christopher,EVP of Aerospace & Defense,Sell,Common Stock,1162.0,96.9079,112606.98,S,2025-07-18
Xia Howard H.,,Sell,Common Stock,1000.0,17.84,17840.0,M,2025-06-16
Xia Howard H.,,Sell,Common Stock,1000.0,80.88,80880.0,S,2025-06-16
Xia Howard H.,,Sell,Common Stock,1000.0,17.84,17840.0,M,2025-06-13
Xia Howard H.,,Sell,Common Stock,1000.0,83.0,83000.0,S,2025-06-13
SADASIVAM SHAKER,,Sell,Common Stock,9240.0,21.67,200230.8,M,2025-06-05
SADASIVAM SHAKER,,Sell,Common Stock,5700.0,35.25,200925.0,M,2025-06-05
SADASIVAM SHAKER,,Sell,Common Stock,4020.0,49.9,200598.0,M,2025-06-05
SADASIVAM SHAKER,,Sell,Common Stock,5812.0,36.56,212486.72,M,2025-06-05
SADASIVAM SHAKER,,Sell,Common Stock,29292.0,80.0,2343360.0,S,2025-06-05
ANDERSON JAMES ROBERT,CEO & President,Sell,Common Stock,25836.0,76.78,1983688.08,F,2025-06-04
Neal-Graves Lisa,,Sell,Common Stock,1200.0,79.6477,95577.24,S,2025-05-29
Xia Howard H.,,Sell,Common Stock,1000.0,81.0,81000.0,S,2025-05-23
Xia Howard H.,,Sell,Common Stock,1000.0,17.84,17840.0,M,2025-05-23
Koeppen Christopher,EVP of Aerospace & Defense,Sell,Common Stock,6154.0,80.0,492320.0,S,2025-05-14
Koeppen Christopher,EVP of Aerospace & Defense,Sell,Common Stock,2581.0,80.0,206480.0,S,2025-05-14
Koeppen Christopher,EVP of Aerospace & Defense,Sell,Common Stock,2545.0,80.0,203600.0,S,2025-05-14
Koeppen Christopher,EVP of Aerospace & Defense,Sell,Common Stock,6154.0,36.56,224990.24,M,2025-05-14
Xia Howard H.,,Sell,Common Stock,2000.0,17.84,35680.0,M,2025-05-12
Xia Howard H.,,Sell,Common Stock,1000.0,78.0,78000.0,S,2025-05-12
Xia Howard H.,,Sell,Common Stock,1000.0,76.84,76840.0,S,2025-05-12
Xia Howard H.,,Sell,Common Stock,1000.0,72.685,72685.0,S,2025-05-12
Xia Howard H.,,Sell,Common Stock,1000.0,17.84,17840.0,M,2025-05-12
Eng Julie Sheridan,Chief Technology Officer,Sell,Common Stock,13300.0,0.0,0.0,A,2025-03-04
Mocciaro Ilaria,"SVP, CAO & Corp. Controller",Sell,Common Stock,687.0,0.0,0.0,F,2025-02-28
Neal-Graves Lisa,Unknown,Sell,Common Stock,580.0,0.0,0.0,G,2025-02-26
Koeppen Christopher,Chief Innovation Officer,Sell,Common Stock,2248.0,105.0047,236050.57,S,2024-12-17
Koeppen Christopher,Chief Innovation Officer,Sell,Common Stock,2916.0,108.84,317377.44,S,2024-12-17
Xia Howard H.,,Sell,Common Stock,1000.0,112.0,112000.0,S,2024-12-04
Xia Howard H.,,Sell,Common Stock,2000.0,17.84,35680.0,M,2024-12-04
Xia Howard H.,,Sell,Common Stock,1000.0,109.45,109450.0,S,2024-12-04
Xia Howard H.,,Sell,Common Stock,970.0,106.0,102820.0,S,2024-12-04
Koeppen Christopher,Chief Innovation Officer,Sell,Common Stock,2590.0,107.0,277130.0,S,2024-12-04
Xia Howard H.,,Sell,Common Stock,970.0,17.84,17304.8,M,2024-12-04
ANDERSON JAMES ROBERT,CEO & President,Buy,Common Stock,500.0,102.72,51360.0,P,2024-12-02
Mocciaro Ilaria,"SVP, CAO & Corp. Controller",Sell,Common Stock,7647.0,0.0,0.0,A,2024-12-02
CORASANTI JOSEPH J,,Sell,Common Stock,9240.0,21.67,200230.8,M,2024-11-27
CORASANTI JOSEPH J,,Sell,Common Stock,9240.0,101.2902,935921.45,S,2024-11-27
ANDERSON JAMES ROBERT,CEO & President,Buy,Common Stock,500.0,103.9771,51988.55,P,2024-11-25
Koeppen Christopher,Chief Innovation Officer,Sell,Common Stock,500.0,94.192,47096.0,S,2024-11-18
