insider_name,title,type,security,shares,price,value,code,filing_date
Woenker Christopher B.,Senior VP & CHRO,Sell,Common  Stock,34.0,179.61,6106.74,F,2025-03-18
Cabrera Ivonne M,"SVP, General Counsel & Secr.",Sell,Common Stock,183.0,179.61,32868.63,F,2025-03-18
Woenker Christopher B.,Senior VP & CHRO,Sell,Common Stock,39.0,179.61,7004.79,F,2025-03-18
Moran James M,VP & Treasurer,Sell,Common Stock,28.0,179.61,5029.08,F,2025-03-18
Moran James M,VP & Treasurer,Sell,Common Stock,29.0,179.61,5208.69,F,2025-03-18
Moran James M,VP & Treasurer,Sell,Common Stock,25.0,179.61,4490.25,F,2025-03-18
Tobin Richard J,"Chairman, President & CEO",Sell,Common Stock,1937.0,179.61,347904.57,F,2025-03-18
Tobin Richard J,"Chairman, President & CEO",Sell,Common Stock,1660.0,179.61,298152.6,F,2025-03-18
Cabrera Ivonne M,"SVP, General Counsel & Secr.",Sell,Common Stock,175.0,179.61,31431.75,F,2025-03-18
Tobin Richard J,"Chairman, President & CEO",Sell,Common Stock,1831.0,179.61,328865.91,F,2025-03-18
Cabrera Ivonne M,"SVP, General Counsel & Secr.",Sell,Common Stock,175.0,179.61,31431.75,F,2025-03-18
Juneja Girish,Senior VP & CDO,Sell,Common Stock,96.0,179.61,17242.56,F,2025-03-18
Juneja Girish,Senior VP & CDO,Sell,Common Stock,92.0,179.61,16524.12,F,2025-03-18
Paulson Ryan,VP & Controller,Sell,Common Stock,37.0,179.61,6645.57,F,2025-03-18
Paulson Ryan,VP & Controller,Sell,Common Stock,32.0,179.61,5747.52,F,2025-03-18
Paulson Ryan,VP & Controller,Sell,Common Stock,25.0,179.61,4490.25,F,2025-03-18
Juneja Girish,Senior VP & CDO,Sell,Common Stock,92.0,179.61,16524.12,F,2025-03-18
Woenker Christopher B.,Senior VP & CHRO,Sell,Common Stock,43.0,179.61,7723.23,F,2025-03-18
Paulson Ryan,VP & Controller,Sell,Common Stock,136.0,202.33,27516.88,F,2025-02-19
Moran James M,VP & Treasurer,Sell,Common Stock,136.0,202.33,27516.88,F,2025-02-19
Paulson Ryan,VP & Controller,Sell,Common Stock,393.0,0.0,0.0,A,2025-02-19
Yehle Jeffrey,Senior VP & CHRO,Sell,Common Stock,643.0,0.0,0.0,A,2025-02-19
Cabrera Ivonne M,"SVP, General Counsel & Secr.",Sell,Common Stock,1977.0,0.0,0.0,A,2025-02-19
Cabrera Ivonne M,"SVP, General Counsel & Secr.",Sell,Common Stock,1968.0,0.0,0.0,A,2025-02-19
Cabrera Ivonne M,"SVP, General Counsel & Secr.",Sell,Common Stock,891.0,202.33,180276.03,F,2025-02-19
Moran James M,VP & Treasurer,Sell,Common Stock,222.0,0.0,0.0,A,2025-02-19
Moran James M,VP & Treasurer,Sell,Common Stock,393.0,0.0,0.0,A,2025-02-19
Paulson Ryan,VP & Controller,Sell,Common Stock,297.0,0.0,0.0,A,2025-02-19
Juneja Girish,Senior VP & CDO,Sell,Common Stock,459.0,202.33,92869.47,F,2025-02-19
Juneja Girish,Senior VP & CDO,Sell,Common Stock,840.0,0.0,0.0,A,2025-02-19
Tobin Richard J,President & CEO,Sell,Common Stock,7103.0,202.33,1437149.99,F,2025-02-19
Tobin Richard J,President & CEO,Sell,Common Stock,17707.0,0.0,0.0,A,2025-02-19
Tobin Richard J,President & CEO,Sell,Common Stock,11120.0,0.0,0.0,A,2025-02-19
Woenker Christopher B.,Senior VP & CFO,Sell,Common Stock,188.0,202.33,38038.04,F,2025-02-19
Woenker Christopher B.,Senior VP & CFO,Sell,Common Stock,541.0,0.0,0.0,A,2025-02-19
Woenker Christopher B.,Senior VP & CFO,Sell,Common Stock,988.0,0.0,0.0,A,2025-02-19
Juneja Girish,Senior VP & CDO,Sell,Common Stock,1476.0,0.0,0.0,A,2025-02-19
GRAHAM KRISTIANE C,Unknown,Sell,Common Stock,24500.0,0.0,0.0,G,2024-12-10
GRAHAM KRISTIANE C,Unknown,Sell,Common Stock,870.0,201.18,175026.6,A,2024-11-19
Howze Marc A,Unknown,Sell,Common Stock,870.0,201.18,175026.6,A,2024-11-19
Ostling Danita K,Unknown,Sell,Common Stock,870.0,201.18,175026.6,A,2024-11-19
Gilbertson H John Jr,Unknown,Sell,Common Stock,870.0,201.18,175026.6,A,2024-11-19
DeHaas Deborah L,Unknown,Sell,Common Stock,870.0,201.18,175026.6,A,2024-11-19
JOHNSTON MICHAEL F,Unknown,Sell,Common Stock,892.0,201.18,179452.56,A,2024-11-19
Spiegel Eric A.,Unknown,Sell,Common Stock,870.0,201.18,175026.6,A,2024-11-19
WANDELL KEITH E,Unknown,Sell,Common Stock,870.0,201.18,175026.6,A,2024-11-19
Manley Michael Mark,Unknown,Sell,Common Stock,870.0,201.18,175026.6,A,2024-11-19
Cabrera Ivonne M,"SVP, General Counsel & Secr.",Sell,Common Stock,2500.0,204.31,510775.0,S,2024-11-12
Cabrera Ivonne M,"SVP, General Counsel & Secr.",Sell,Common Stock,9561.0,202.26,1933807.86,F,2024-11-08
Juneja Girish,Senior VP & CDO,Sell,Common Stock,1000.0,201.62,201620.0,S,2024-11-08
Cabrera Ivonne M,"SVP, General Counsel & Secr.",Sell,Common Stock,9494.0,202.26,1920256.44,D,2024-11-08
Cabrera Ivonne M,"SVP, General Counsel & Secr.",Sell,Common Stock,31074.0,61.79,1920062.46,M,2024-11-08
Cerepak Brad M,Senior VP & CFO,Sell,Common Stock,14818.0,175.0,2593150.0,S,2024-09-10
Cerepak Brad M,Senior VP & CFO,Sell,Common Stock,40000.0,61.79,2471600.0,M,2024-09-04
Cerepak Brad M,Senior VP & CFO,Sell,Common Stock,13395.0,184.5275,2471745.86,D,2024-09-04
Cerepak Brad M,Senior VP & CFO,Sell,Common Stock,11787.0,184.5275,2175025.64,F,2024-09-04
Cabrera Ivonne M,"SVP, General Counsel & Secr.",Sell,Common Stock,1220.0,185.0,225700.0,S,2024-08-30
Tobin Richard J,"Chairman, President & CEO",Sell,Common Stock,25004.0,181.9587,4549695.33,S,2024-08-23
Yehle Jeffrey,Senior VP & CHRO,Sell,Common Stock,1758.0,0.0,0.0,A,2024-08-05
Cerepak Brad M,Senior VP & CFO,Sell,Common Stock,4341.0,184.59,801305.19,S,2024-08-01
