insider_name,title,type,security,shares,price,value,code,filing_date
Ramo Joshua Cooper,Unknown,Sell,Common Stock,3610.0,232.233,838361.13,S,2025-07-23
Ramo Joshua Cooper,Unknown,Sell,Common Stock,3610.0,142.11,513017.1,M,2025-07-23
Ellison Marvin R,Unknown,Sell,Common Stock,3610.0,236.94,855353.4,S,2025-07-09
Ellison Marvin R,Unknown,Sell,Common Stock,3610.0,142.11,513017.1,M,2025-07-09
WALSH PAUL S,Unknown,Sell,Common Stock,3610.0,238.2939,860240.98,S,2025-07-08
WALSH PAUL S,Unknown,Sell,Common Stock,3610.0,142.11,513017.1,M,2025-07-08
MARTIN R BRAD,Unknown,Sell,Common Stock,3610.0,142.11,513017.1,M,2025-07-07
MARTIN R BRAD,Unknown,Sell,Common Stock,2123.0,241.75,513235.25,S,2025-07-07
DIETRICH JOHN W,EVP CHIEF FINANCIAL OFF,Sell,Common Stock,6595.0,0.0,0.0,A,2025-06-27
ADAMS GINA F.,EVP GENL COUNSEL/SECTY,Sell,Common Stock,6325.0,0.0,0.0,A,2025-06-27
Brightman Tracy B,EVP - Chief People Officer,Sell,Common Stock,6325.0,0.0,0.0,A,2025-06-27
Carere Brie,EVP/Chief Customer Officer,Sell,Common Stock,6325.0,0.0,0.0,A,2025-06-27
Subramaniam Rajesh,President/CEO,Sell,Common Stock,17680.0,0.0,0.0,A,2025-06-27
Erwin Guy M II,CVP Chief Accounting Officer,Sell,Common Stock,1155.0,0.0,0.0,A,2025-06-27
Krishnasamy Sriram,EVP CDI Off & CTO/CEO FDW,Sell,Common Stock,6325.0,0.0,0.0,A,2025-06-27
Smith John Alan,COO - US&CAN FEC,Sell,Common Stock,6325.0,0.0,0.0,A,2025-06-27
Smith Richard W,COO INTL - CEO Airline FEC,Sell,Common Stock,6325.0,0.0,0.0,A,2025-06-27
SMITH FREDERICK W,Executive Chairman,Sell,Common Stock,22498.0,201.7146,4538175.07,S,2025-04-11
SMITH FREDERICK W,Executive Chairman,Sell,Common Stock,132520.0,180.82,23962266.4,M,2025-04-11
SMITH FREDERICK W,Executive Chairman,Sell,Common Stock,850.0,207.25,176162.5,S,2025-04-11
SMITH FREDERICK W,Executive Chairman,Sell,Common Stock,55384.0,203.3728,11263599.16,S,2025-04-11
SMITH FREDERICK W,Executive Chairman,Sell,Common Stock,45118.0,202.6815,9144583.92,S,2025-04-11
Smith John Alan,COO - US&CAN FEC,Sell,Common Stock,2810.0,180.82,508104.2,M,2025-03-27
Smith John Alan,COO - US&CAN FEC,Sell,Common Stock,2810.0,243.55,684375.5,S,2025-03-27
Smith John Alan,COO - US&CAN FEC,Sell,Common Stock,3345.0,162.82,544632.9,M,2025-03-27
Smith John Alan,COO - US&CAN FEC,Sell,Common Stock,3345.0,243.55,814674.75,S,2025-03-27
ADAMS GINA F.,EVP GENL COUNSEL/SECTY,Sell,Common Stock,4770.0,180.82,862511.4,M,2025-03-24
ADAMS GINA F.,EVP GENL COUNSEL/SECTY,Sell,Common Stock,4770.0,241.85,1153624.5,S,2025-03-24
SCHWAB SUSAN C,Unknown,Sell,Common Stock,3980.0,174.635,695047.3,M,2025-01-14
SCHWAB SUSAN C,Unknown,Sell,Common Stock,3980.0,276.4464,1100256.67,S,2025-01-14
Smith Richard W,COO INTL - CEO Airline FEC,Sell,Common Stock,23516.0,0.0,0.0,G,2025-01-10
Smith Richard W,COO INTL - CEO Airline FEC,Sell,Common Stock,2576.0,276.9307,713373.48,S,2025-01-10
Smith Richard W,COO INTL - CEO Airline FEC,Sell,Common Stock,20130.0,0.0,0.0,G,2025-01-10
Smith Richard W,COO INTL - CEO Airline FEC,Sell,Common Stock,130.0,0.0,0.0,G,2025-01-10
Smith Richard W,COO INTL - CEO Airline FEC,Sell,Common Stock,3220.0,180.82,582240.4,M,2025-01-10
DIETRICH JOHN W,EVP CHIEF FINANCIAL OFF,Buy,Common Stock,1000.0,273.98,273980.0,P,2025-01-08
SMITH FREDERICK W,Executive Chairman,Sell,Common Stock,223400.0,0.0,0.0,G,2025-01-06
SMITH FREDERICK W,Executive Chairman,Sell,Common Stock,225000.0,0.0,0.0,G,2025-01-06
LANE AMY B,Unknown,Buy,Common Stock,333.0,276.0635,91929.15,P,2024-12-26
ADAMS GINA F.,EVP GENL COUNSEL/SECTY,Sell,Common Stock,5150.0,0.0,0.0,G,2024-12-23
Perpall Frederick,Unknown,Sell,Common Stock,755.0,0.0,0.0,A,2024-09-24
Davila Silvia,Unknown,Sell,Common Stock,271.0,258.115,69949.17,A,2024-09-24
WALSH PAUL S,Unknown,Sell,Common Stock,755.0,0.0,0.0,A,2024-09-24
STEINER DAVID P,Unknown,Sell,Common Stock,755.0,0.0,0.0,A,2024-09-24
STEINER DAVID P,Unknown,Sell,Common Stock,542.0,258.115,139898.33,A,2024-09-24
SCHWAB SUSAN C,Unknown,Sell,Common Stock,755.0,0.0,0.0,A,2024-09-24
Ramo Joshua Cooper,Unknown,Sell,Common Stock,755.0,0.0,0.0,A,2024-09-24
Ramo Joshua Cooper,Unknown,Sell,Common Stock,542.0,258.115,139898.33,A,2024-09-24
SCHWAB SUSAN C,Unknown,Sell,Common Stock,271.0,258.115,69949.17,A,2024-09-24
Norton Nancy A,Unknown,Sell,Common Stock,755.0,0.0,0.0,A,2024-09-24
LANE AMY B,Unknown,Sell,Common Stock,755.0,0.0,0.0,A,2024-09-24
Griffith Susan Patricia,Unknown,Sell,Common Stock,755.0,0.0,0.0,A,2024-09-24
MARTIN R BRAD,Unknown,Sell,Common Stock,755.0,0.0,0.0,A,2024-09-24
Griffith Susan Patricia,Unknown,Sell,Common Stock,542.0,258.115,139898.33,A,2024-09-24
GORMAN STEPHEN E,Unknown,Sell,Common Stock,755.0,0.0,0.0,A,2024-09-24
Ellison Marvin R,Unknown,Sell,Common Stock,755.0,0.0,0.0,A,2024-09-24
Davila Silvia,Unknown,Sell,Common Stock,755.0,0.0,0.0,A,2024-09-24
MARTIN R BRAD,Unknown,Sell,Common Stock,271.0,258.115,69949.17,A,2024-09-24
