insider_name,title,type,security,shares,price,value,code,filing_date
Shriram Kavitark Ram,Unknown,Sell,Class A Common Stock,15000.0,185.76,2786400.0,S,2025-07-21
Shriram Kavitark Ram,Unknown,Sell,Class A Common Stock,18566.0,185.76,3448820.16,S,2025-07-21
Pichai Sundar,Chief Executive Officer,Sell,Class C Capital Stock,10254.0,183.8,1884685.2,S,2025-07-17
Pichai Sundar,Chief Executive Officer,Sell,Class C Capital Stock,21590.0,184.63,3986161.7,S,2025-07-17
Pichai Sundar,Chief Executive Officer,Sell,Class C Capital Stock,656.0,185.17,121471.52,S,2025-07-17
Hennessy John L.,Unknown,Sell,Class C Capital Stock,92.0,181.5,16698.0,S,2025-07-16
Hennessy John L.,Unknown,Sell,Class C Capital Stock,119.0,181.64,21615.16,S,2025-07-16
Hennessy John L.,Unknown,Sell,Class C Capital Stock,81.0,182.57,14788.17,S,2025-07-16
Hennessy John L.,Unknown,Sell,Class C Capital Stock,98.0,182.36,17871.28,S,2025-07-16
Hennessy John L.,Unknown,Sell,Class C Capital Stock,10.0,182.03,1820.3,S,2025-07-16
Ferguson Roger W. Jr.,Unknown,Sell,Class C Google Stock Units,2016.0,0.0,0.0,A,2025-07-11
Shriram Kavitark Ram,Unknown,Sell,Class C Google Stock Units,2016.0,0.0,0.0,A,2025-07-11
Washington Robin L,Unknown,Sell,Class C Google Stock Units,2016.0,0.0,0.0,A,2025-07-11
ARNOLD FRANCES,Unknown,Sell,Class C Google Stock Units,2016.0,0.0,0.0,A,2025-07-11
DOERR L JOHN,Unknown,Sell,Class C Google Stock Units,2016.0,0.0,0.0,A,2025-07-11
CHAVEZ R. MARTIN,Unknown,Sell,Class C Google Stock Units,2016.0,0.0,0.0,A,2025-07-11
Hennessy John L.,Unknown,Sell,Class C Google Stock Units,2879.0,0.0,0.0,A,2025-07-11
Pichai Sundar,Chief Executive Officer,Sell,Class C Capital Stock,4546.0,176.69,803232.74,S,2025-07-03
Pichai Sundar,Chief Executive Officer,Sell,Class C Capital Stock,7900.0,177.74,1404146.0,S,2025-07-03
Pichai Sundar,Chief Executive Officer,Sell,Class C Capital Stock,10952.0,179.52,1966103.04,S,2025-07-03
Pichai Sundar,Chief Executive Officer,Sell,Class C Capital Stock,9102.0,178.91,1628438.82,S,2025-07-03
ARNOLD FRANCES,Unknown,Sell,Class C Capital Stock,121.0,180.72,21867.12,S,2025-06-30
Pichai Sundar,Chief Executive Officer,Sell,Class C Capital Stock,37196.0,0.0,0.0,C,2025-06-27
Ashkenazi Anat,"SVP, Chief Financial Officer",Sell,Class C Google Stock Units,11783.0,167.74,1976480.42,F,2025-06-27
Schindler Philipp,"SVP, Chief Business Officer",Sell,Class C Google Stock Units,9114.0,167.74,1528782.36,F,2025-06-27
Schindler Philipp,"SVP, Chief Business Officer",Sell,Class C Google Stock Units,6038.0,0.0,0.0,C,2025-06-27
Schindler Philipp,"SVP, Chief Business Officer",Sell,Class C Google Stock Units,7140.0,0.0,0.0,C,2025-06-27
Schindler Philipp,"SVP, Chief Business Officer",Sell,Class C Google Stock Units,7221.0,167.74,1211250.54,F,2025-06-27
Ashkenazi Anat,"SVP, Chief Financial Officer",Sell,Class C Google Stock Units,6770.0,167.74,1135599.8,F,2025-06-27
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Google Stock Units,282.0,167.74,47302.68,F,2025-06-27
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Google Stock Units,675.0,0.0,0.0,C,2025-06-27
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Google Stock Units,682.0,167.74,114398.68,F,2025-06-27
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Google Stock Units,279.0,0.0,0.0,C,2025-06-27
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Sell,Class C Capital Stock,953.0,0.0,0.0,C,2025-06-27
Ashkenazi Anat,"SVP, Chief Financial Officer",Sell,Class C Capital Stock,18346.0,0.0,0.0,C,2025-06-27
Pichai Sundar,Chief Executive Officer,Sell,Class C Google Stock Units,37615.0,167.74,6309540.1,F,2025-06-27
Schindler Philipp,"SVP, Chief Business Officer",Sell,Class C Google Stock Units,9012.0,0.0,0.0,C,2025-06-27
Schindler Philipp,"SVP, Chief Business Officer",Sell,Class C Capital Stock,22191.0,0.0,0.0,C,2025-06-27
WALKER JOHN KENT,"President, Global Affairs, CLO",Sell,Class C Google Stock Units,6092.0,167.74,1021872.08,F,2025-06-27
Porat Ruth,President and CIO,Sell,Class C Google Stock Units,7054.0,0.0,0.0,C,2025-06-27
