insider_name,title,type,security,shares,price,value,code,filing_date
Kapur Vimal,Chief Executive Officer,Sell,Common Stock,1851.0,0.0,0.0,M,2025-06-03
Kapur Vimal,Chief Executive Officer,Sell,Common Stock,810.0,225.39,182565.9,F,2025-06-03
Hammoud Billal,"President & CEO, BA",Sell,Common Stock,436.0,0.0,0.0,M,2025-04-25
Hammoud Billal,"President & CEO, BA",Sell,Common Stock,197.0,198.82,39167.54,F,2025-04-25
DAVIS D SCOTT,Unknown,Sell,Common Stock,650.0,200.38,130247.0,M,2025-04-17
Lieblein Grace,Unknown,Sell,Common Stock,650.0,200.38,130247.0,M,2025-04-17
BURKE KEVIN,Unknown,Sell,Common Stock,650.0,200.38,130247.0,M,2025-04-17
Watson Robin,Unknown,Sell,Common Stock,196.0,200.38,39274.48,F,2025-04-17
Watson Robin,Unknown,Sell,Common Stock,650.0,200.38,130247.0,M,2025-04-17
Lee Rose,Unknown,Sell,Common Stock,650.0,200.38,130247.0,M,2025-04-17
ANGOVE DUNCAN,Unknown,Sell,Common Stock,650.0,200.38,130247.0,M,2025-04-17
Flint Deborah,Unknown,Sell,Common Stock,650.0,200.38,130247.0,M,2025-04-17
AYER WILLIAM S,Unknown,Sell,Common Stock,650.0,200.38,130247.0,M,2025-04-17
LAMACH MICHAEL W,Unknown,Sell,Common Stock,650.0,200.38,130247.0,M,2025-04-17
Williamson Stephen,Unknown,Sell,Common Stock,83.0,200.38,16631.54,M,2025-04-17
Kapur Vimal,Chief Executive Officer,Sell,Common Stock,648.0,0.0,0.0,M,2025-02-27
Kapur Vimal,Chief Executive Officer,Sell,Common Stock,287.0,211.23,60623.01,F,2025-02-27
Madden Anne T,SrVP and General Counsel,Sell,Common Stock,1297.0,0.0,0.0,M,2025-02-27
Madden Anne T,SrVP and General Counsel,Sell,Common Stock,566.0,211.23,119556.18,F,2025-02-27
