insider_name,title,type,security,shares,price,value,code,filing_date
REED JOHN C,"EVP, Innovative Medicine, R&D",Sell,Common Stock,19137.0,163.5486,3129829.56,S,2025-07-18
REED JOHN C,"EVP, Innovative Medicine, R&D",Sell,Common Stock,25255.0,0.0,0.0,M,2025-05-05
REED JOHN C,"EVP, Innovative Medicine, R&D",Sell,Common Stock,11002.0,156.31,1719722.62,F,2025-05-05
Duato Joaquin,CEO and Chairman of the Board,Sell,Common Stock,130852.0,0.0,0.0,G,2025-03-19
Decker Robert J,VP Corporate Controller,Sell,Common Stock,6999.0,101.87,712988.13,M,2025-02-26
Decker Robert J,VP Corporate Controller,Sell,Common Stock,6999.0,165.88,1160994.12,S,2025-02-26
Wolk Joseph J,"Exec VP, CFO",Sell,Common Stock,768.0,156.15,119923.2,F,2025-02-18
Wolk Joseph J,"Exec VP, CFO",Sell,Common Stock,15316.0,0.0,0.0,M,2025-02-18
Schmid Timothy,"EVP, WW Chair, MedTech",Sell,Common Stock,1015.0,156.71,159060.65,F,2025-02-18
Schmid Timothy,"EVP, WW Chair, MedTech",Sell,Common Stock,499.0,0.0,0.0,M,2025-02-18
Schmid Timothy,"EVP, WW Chair, MedTech",Sell,Common Stock,193.0,155.26,29965.18,F,2025-02-18
Schmid Timothy,"EVP, WW Chair, MedTech",Sell,Common Stock,1765.0,0.0,0.0,M,2025-02-18
Schmid Timothy,"EVP, WW Chair, MedTech",Sell,Common Stock,639.0,156.71,100137.69,F,2025-02-18
Schmid Timothy,"EVP, WW Chair, MedTech",Sell,Common Stock,1029.0,0.0,0.0,M,2025-02-18
Schmid Timothy,"EVP, WW Chair, MedTech",Sell,Common Stock,403.0,156.15,62928.45,S,2025-02-18
Wengel Kathryn E,"EVP, Chief TO and Risk Officer",Sell,Common Stock,651.0,0.0,0.0,M,2025-02-18
Wengel Kathryn E,"EVP, Chief TO and Risk Officer",Sell,Common Stock,223.0,155.26,34622.98,F,2025-02-18
Wengel Kathryn E,"EVP, Chief TO and Risk Officer",Sell,Common Stock,1530.0,0.0,0.0,M,2025-02-18
Wengel Kathryn E,"EVP, Chief TO and Risk Officer",Sell,Common Stock,480.0,156.71,75220.8,F,2025-02-18
Wengel Kathryn E,"EVP, Chief TO and Risk Officer",Sell,Common Stock,607.0,0.0,0.0,M,2025-02-18
Wengel Kathryn E,"EVP, Chief TO and Risk Officer",Sell,Common Stock,200.0,156.15,31230.0,F,2025-02-18
Wengel Kathryn E,"EVP, Chief TO and Risk Officer",Sell,Common Stock,5837.0,0.0,0.0,M,2025-02-18
Wengel Kathryn E,"EVP, Chief TO and Risk Officer",Sell,Common Stock,2393.0,156.71,375007.03,F,2025-02-18
Wolk Joseph J,"Exec VP, CFO",Sell,Common Stock,1779.0,0.0,0.0,M,2025-02-18
Broadhurst Vanessa,"EVP, Global Corp Affairs",Sell,Common Stock,997.0,156.71,156239.87,F,2025-02-18
Schmid Timothy,"EVP, WW Chair, MedTech",Sell,Common Stock,2806.0,0.0,0.0,M,2025-02-18
Wolk Joseph J,"Exec VP, CFO",Sell,Common Stock,507.0,155.26,78716.82,F,2025-02-18
Wolk Joseph J,"Exec VP, CFO",Sell,Common Stock,1144.0,156.71,179276.24,F,2025-02-18
Taubert Jennifer L,"EVP, WWC. Innovative Medicine",Sell,Common Stock,1594.0,0.0,0.0,M,2025-02-18
Wolk Joseph J,"Exec VP, CFO",Sell,Common Stock,6661.0,156.71,1043845.31,F,2025-02-18
REED JOHN C,"EVP, Innovative Medicine, R&D",Sell,Common Stock,1350.0,0.0,0.0,M,2025-02-18
