insider_name,title,type,security,shares,price,value,code,filing_date
Karlin Bridget E,,Sell,Class A Ordinary Shares,303.0,56.13,17007.39,F,2025-05-28
Benet Lincoln E,,Sell,Class A Ordinary Shares,843.0,56.13,47317.59,F,2025-05-28
KAMSKY VIRGINIA A,,Sell,Class A Ordinary Shares,351.0,56.13,19701.63,F,2025-05-28
Hanley Michael Sean,,Sell,Class A Ordinary Shares,331.0,56.13,18579.03,F,2025-05-28
Vanacker Peter Z. E.,Chief Executive Officer,Sell,Class A Ordinary Shares,9103.0,56.13,510951.39,F,2025-05-28
Manifold Albert Jude,,Sell,Class A Ordinary Shares,357.0,56.13,20038.41,F,2025-05-28
Dudley Robert W.,,Sell,Class A Ordinary Shares,483.0,56.13,27110.79,F,2025-05-28
AIGRAIN JACQUES,,Sell,Class A Ordinary Shares,364.0,56.13,20431.32,F,2025-05-28
CHASE ANTHONY R,,Sell,Class A Ordinary Shares,314.0,56.13,17624.82,F,2025-05-28
Griffin Rita E,,Sell,Class A Ordinary Shares,447.0,56.13,25090.11,F,2025-05-28
FARLEY CLAIRE S,,Sell,Class A Ordinary Shares,317.0,56.13,17793.21,F,2025-05-28
Hanley Michael Sean,,Sell,Class A Ordinary Shares,2917.0,0.0,0.0,A,2025-05-27
Benet Lincoln E,,Sell,Class A Ordinary Shares,2917.0,0.0,0.0,A,2025-05-27
Buchanan Robin W.T.,,Sell,Class A Ordinary Shares,2917.0,0.0,0.0,A,2025-05-27
CHASE ANTHONY R,,Sell,Class A Ordinary Shares,2917.0,0.0,0.0,A,2025-05-27
Dudley Robert W.,,Sell,Class A Ordinary Shares,2917.0,0.0,0.0,A,2025-05-27
AIGRAIN JACQUES,,Sell,Class A Ordinary Shares,5577.0,0.0,0.0,A,2025-05-27
FARLEY CLAIRE S,,Sell,Class A Ordinary Shares,2917.0,0.0,0.0,A,2025-05-27
KAMSKY VIRGINIA A,,Sell,Class A Ordinary Shares,2917.0,0.0,0.0,A,2025-05-27
Karlin Bridget E,,Sell,Class A Ordinary Shares,2917.0,0.0,0.0,A,2025-05-27
Manifold Albert Jude,,Sell,Class A Ordinary Shares,2917.0,0.0,0.0,A,2025-05-27
Griffin Rita E,,Sell,Class A Ordinary Shares,2917.0,0.0,0.0,A,2025-05-27
Hanley Michael Sean,,Buy,Class A Ordinary Shares,3500.0,57.01,199535.0,P,2025-05-06
Hayes Matthew D,SVP & CAO,Sell,Class A Ordinary Shares,489.0,0.0,0.0,A,2025-04-17
Izquierdo Sabido Agustin,EVP & Chief Financial Officer,Sell,Class A Ordinary Shares,45.0,56.7,2551.5,F,2025-04-17
Hanley Michael Sean,,Buy,Class A Ordinary Shares,3750.0,72.0524,270196.5,P,2025-03-13
Foley Kimberly A,"EVP, Global O&P and Refining",Sell,Class A Ordinary Shares,13384.0,0.0,0.0,A,2025-03-03
Campbell Tracey D,"EVP, Sustainability & Corp Aff",Sell,Class A Ordinary Shares,3067.0,0.0,0.0,A,2025-03-03
Rhenman Torkel,"EVP, Adv Polymer Solutions",Sell,Class A Ordinary Shares,13094.0,0.0,0.0,A,2025-03-03
Conley Trisha L,"EVP, People and Culture",Sell,Class A Ordinary Shares,8749.0,0.0,0.0,A,2025-03-03
Friedrichs Dale D,"EVP, Ops Excellence, HSE",Sell,Class A Ordinary Shares,9289.0,0.0,0.0,A,2025-03-03
Kaplan Jeffrey A,EVP and General Counsel,Sell,Class A Ordinary Shares,12311.0,0.0,0.0,A,2025-03-03
van der Laan Yvonne,"EVP, Circular & Low Carbon Sol",Sell,Class A Ordinary Shares,6436.0,0.0,0.0,A,2025-03-03
Oyolu Chukwuemeka A.,"SVP, CAO",Sell,Class A Ordinary Shares,6029.0,0.0,0.0,A,2025-03-03
Ledet Aaron J,"EVP, I&D & Supply Chain",Sell,Class A Ordinary Shares,7491.0,0.0,0.0,A,2025-03-03
Seward James Malcolm,EVP & Chief Innovation Officer,Sell,Class A Ordinary Shares,6298.0,0.0,0.0,A,2025-03-03
Vanacker Peter Z. E.,Chief Executive Officer,Sell,Class A Ordinary Shares,57218.0,0.0,0.0,A,2025-03-03
McMurray Michael C.,EVP & CFO,Sell,Class A Ordinary Shares,18305.0,0.0,0.0,A,2025-03-03
Vanacker Peter Z. E.,Chief Executive Officer,Sell,Class A Ordinary Shares,3676.0,76.2,280111.2,F,2025-02-28
Vanacker Peter Z. E.,Chief Executive Officer,Sell,Class A Ordinary Shares,14383.0,76.2,1095984.6,F,2025-02-28
Vanacker Peter Z. E.,Chief Executive Officer,Sell,Class A Ordinary Shares,36549.0,76.2,2785033.8,A,2025-02-28
Vanacker Peter Z. E.,Chief Executive Officer,Sell,Class A Ordinary Shares,9341.0,76.2,711784.2,A,2025-02-28
