insider_name,title,type,security,shares,price,value,code,filing_date
Smart Dalton E. III,SVP Fin. - Global Controller,Sell,Common Stock,588.0,83.18,48909.84,F,2025-05-05
Smart Dalton E. III,SVP Fin. - Global Controller,Sell,Common Stock,1532.0,83.18,127431.76,M,2025-05-05
Smart Dalton E. III,SVP Fin. - Global Controller,Sell,Common Stock,256.0,83.18,21294.08,F,2025-05-05
Smart Dalton E. III,SVP Fin. - Global Controller,Sell,Common Stock,518.0,83.18,43087.24,M,2025-05-05
Smart Dalton E. III,SVP Fin. - Global Controller,Sell,Common Stock,381.0,83.26,31722.06,M,2025-05-02
Larson Betty D,"EVP, Chief HR Officer",Sell,Common Stock,11350.0,84.71,961458.5,M,2025-05-02
Smart Dalton E. III,SVP Fin. - Global Controller,Sell,Common Stock,159.0,84.71,13468.89,F,2025-05-02
Larson Betty D,"EVP, Chief HR Officer",Sell,Common Stock,5153.0,84.71,436510.63,F,2025-05-02
Smart Dalton E. III,SVP Fin. - Global Controller,Sell,Common Stock,131.0,83.26,10907.06,F,2025-05-02
Romanelli Joseph,"President, Human Health Int?l",Sell,Common Stock,2063.0,84.71,174756.73,M,2025-05-02
Romanelli Joseph,"President, Human Health Int?l",Sell,Common Stock,1017.0,84.71,86150.07,F,2025-05-02
Romanelli Joseph,"President, Human Health Int?l",Sell,Common Stock,2262.0,83.26,188334.12,M,2025-05-02
Romanelli Joseph,"President, Human Health Int?l",Sell,Common Stock,1115.0,83.26,92834.9,F,2025-05-02
Smart Dalton E. III,SVP Fin. - Global Controller,Sell,Common Stock,464.0,84.71,39305.44,M,2025-05-02
Smart Dalton E. III,SVP Fin. - Global Controller,Sell,Common Stock,5000.0,58.08,290400.0,M,2025-04-29
Smart Dalton E. III,SVP Fin. - Global Controller,Sell,Common Stock,4262.0,82.76,352723.12,S,2025-04-29
Oosthuizen Johannes Jacobus,"President, U.S. Market",Sell,Common Stock,8500.0,84.0876,714744.6,S,2025-02-20
Williams David Michael,"EVP,Chief Info&Digital Officer",Sell,Common Stock,6000.0,85.3428,512056.8,S,2025-02-13
