insider_name,title,type,security,shares,price,value,code,filing_date
GROSSMAN ERIC F,Chief Legal/Admin Officer,Sell,Common Stock,12000.0,141.1167,1693400.4,S,2025-07-18
Pizzi Michael A.,Head Technology & Operations,Sell,Common Stock,750.0,0.0,0.0,G,2025-07-18
Pizzi Michael A.,Head Technology & Operations,Sell,Common Stock,18000.0,140.6154,2531077.2,S,2025-07-18
SAPERSTEIN ANDREW M,Co-President,Sell,Common Stock,21359.0,141.2819,3017640.1,S,2025-07-18
SAPERSTEIN ANDREW M,Co-President,Sell,Common Stock,22207.0,140.6797,3124074.1,S,2025-07-18
SIMKOWITZ DANIEL A,Co-President,Sell,Common Stock,7559.0,0.0,0.0,G,2025-07-18
SIMKOWITZ DANIEL A,Co-President,Sell,Common Stock,29000.0,141.1251,4092627.9,S,2025-07-18
SMITH CHARLES A,Chief Risk Officer,Sell,Common Stock,20000.0,140.2959,2805918.0,S,2025-07-18
YESHAYA SHARON,Chief Financial Officer,Sell,Common Stock,25583.0,139.8079,3576705.51,S,2025-07-18
NALLY DENNIS M,Unknown,Sell,Common Stock,2155.455,0.0,0.0,A,2025-06-03
TRAQUINA PERRY M,Unknown,Sell,Common Stock,607.446,127.5833,77499.97,A,2025-06-03
James Erika H,Unknown,Sell,Common Stock,2155.455,0.0,0.0,A,2025-06-03
GLOCER THOMAS H,Unknown,Sell,Common Stock,842.587,127.5833,107500.03,A,2025-06-03
BUTLER MEGAN,Unknown,Sell,Common Stock,2155.455,0.0,0.0,A,2025-06-03
SCHAPIRO MARY L,Unknown,Sell,Common Stock,2155.455,0.0,0.0,A,2025-06-03
Peterson Douglas L.,Unknown,Sell,Common Stock,2155.455,0.0,0.0,A,2025-06-03
BUTLER MEGAN,Unknown,Sell,Common Stock,286.0,127.5833,36488.82,F,2025-06-03
Leibowitz Shelley B,Unknown,Sell,Common Stock,2155.455,0.0,0.0,A,2025-06-03
GLOCER THOMAS H,Unknown,Sell,Common Stock,2155.455,0.0,0.0,A,2025-06-03
WILKINS RAYFORD JR,Unknown,Sell,Common Stock,2155.455,0.0,0.0,A,2025-06-03
Herz Robert H,Unknown,Sell,Common Stock,2155.455,0.0,0.0,A,2025-06-03
Miscik Judith A,Unknown,Sell,Common Stock,2155.455,0.0,0.0,A,2025-06-03
SCHAPIRO MARY L,Unknown,Sell,Common Stock,450.686,127.5833,57500.01,A,2025-06-03
TRAQUINA PERRY M,Unknown,Sell,Common Stock,2155.455,0.0,0.0,A,2025-06-03
SIMKOWITZ DANIEL A,Co-President,Sell,Common Stock,29013.0,127.3746,3695519.27,S,2025-05-12
SAPERSTEIN ANDREW M,Co-President,Sell,Common Stock,40000.0,119.9953,4799812.0,S,2025-05-02
Herz Robert H,Unknown,Sell,Common Stock,800.0,119.3242,95459.36,S,2025-05-02
