insider_name,title,type,security,shares,price,value,code,filing_date
MURDOCH JAMES R,,Sell,Common Stock,90000.0,17.47,1572300.0,M,2025-07-15
MURDOCH JAMES R,,Sell,Common Stock,90000.0,17.47,1572300.0,M,2025-07-15
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,400.0,291.178,116471.2,S,2025-07-09
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,2000.0,18.22,36440.0,M,2025-07-09
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,193.0,289.948,55959.96,S,2025-07-09
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,4000.0,18.22,72880.0,M,2025-07-09
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,2000.0,300.0,600000.0,S,2025-07-09
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,1100.0,291.999,321198.9,S,2025-07-09
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,200.0,295.175,59035.0,S,2025-07-09
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,1200.0,293.255,351906.0,S,2025-07-09
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,907.0,294.348,266973.64,S,2025-07-09
Zhu Xiaotong,"SVP, APAC",Sell,Common Stock,15000.0,323.807,4857105.0,S,2025-06-16
Zhu Xiaotong,"SVP, APAC",Sell,Common Stock,15000.0,20.57,308550.0,M,2025-06-16
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,6538.0,0.0,0.0,M,2025-06-09
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,2564.0,285.715,732573.26,S,2025-06-09
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,500.0,340.15,170075.0,S,2025-06-04
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,100.0,333.77,33377.0,S,2025-06-04
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,400.0,336.25,134500.0,S,2025-06-04
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,1200.0,337.739,405286.8,S,2025-06-04
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,600.0,338.662,203197.2,S,2025-06-04
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,6000.0,18.22,109320.0,M,2025-06-04
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,2100.0,343.84,722064.0,S,2025-06-04
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,300.0,345.527,103658.1,S,2025-06-04
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,100.0,347.22,34722.0,S,2025-06-04
Taneja Vaibhav,Chief Financial Officer,Sell,Common Stock,1000.0,18.22,18220.0,M,2025-06-04
