insider_name,title,type,security,shares,price,value,code,filing_date
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,8630.0,353.82,3053466.6,S,2025-07-02
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,8630.0,80.82,697476.6,M,2025-07-02
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,Sell,Class A Common Stock,11636.0,375.0021,4363524.44,S,2025-06-12
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,Sell,Class A Common Stock,11636.0,210.8,2452868.8,M,2025-06-12
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,Sell,Class A Common Stock,22013.0,200.86,4421531.18,M,2025-06-06
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,Sell,Class A Common Stock,24201.0,370.0,8954370.0,S,2025-06-06
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,Sell,Class A Common Stock,22013.0,370.0,8144810.0,S,2025-06-06
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,Sell,Class A Common Stock,24201.0,207.57,5023401.57,M,2025-06-06
Taneja Rajat,"PRESIDENT, TECHNOLOGY",Sell,Class A Common Stock,25000.0,109.82,2745500.0,M,2025-06-05
Taneja Rajat,"PRESIDENT, TECHNOLOGY",Sell,Class A Common Stock,25000.0,367.7475,9193687.5,S,2025-06-05
Taneja Rajat,"PRESIDENT, TECHNOLOGY",Sell,Class A Common Stock,25000.0,370.0,9250000.0,S,2025-06-05
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,8620.0,80.82,696668.4,M,2025-06-04
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,8620.0,362.77,3127077.4,S,2025-06-04
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,Sell,Class A Common Stock,17670.0,182.77,3229545.9,M,2025-05-12
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,Sell,Class A Common Stock,17670.0,357.4494,6316130.9,S,2025-05-12
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,Sell,Class A Common Stock,5793.0,178.75,1035498.75,M,2025-05-09
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,Sell,Class A Common Stock,14813.0,355.0373,5259167.52,S,2025-05-09
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,Sell,Class A Common Stock,9020.0,182.77,1648585.4,M,2025-05-09
ROTTENBERG JULIE B,GENERAL COUNSEL,Sell,Class A Common Stock,2575.0,345.58,889868.5,S,2025-05-02
ROTTENBERG JULIE B,GENERAL COUNSEL,Sell,Class A Common Stock,2575.0,80.82,208111.5,M,2025-05-02
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,8620.0,345.58,2978899.6,S,2025-05-02
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,8620.0,80.82,696668.4,M,2025-05-02
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,8620.0,80.82,696668.4,M,2025-04-03
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,8620.0,350.44,3020792.8,S,2025-04-03
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,Sell,Class A Common Stock,39350.0,340.4079,13395050.87,S,2025-03-20
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,Sell,Class A Common Stock,39350.0,178.75,7033812.5,M,2025-03-20
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,Sell,Class A Common Stock,29601.0,178.75,5291178.75,M,2025-03-14
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,Sell,Class A Common Stock,39350.0,327.2,12875320.0,S,2025-03-14
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,Sell,Class A Common Stock,9749.0,178.75,1742633.75,M,2025-03-14
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,8620.0,363.0,3129060.0,S,2025-03-04
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,8620.0,80.82,696668.4,M,2025-03-04
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,1092.0,0.0,0.0,M,2025-02-18
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,555.0,353.81,196364.55,F,2025-02-18
MAHON TULLIER KELLY,"VICE CHAIR, CHF PPL & CORP AFF",Sell,Class A Common Stock,718.0,0.0,0.0,G,2025-02-07
MAHON TULLIER KELLY,"VICE CHAIR, CHF PPL & CORP AFF",Sell,Class A Common Stock,33741.0,349.7682,11801528.84,S,2025-02-07
MAHON TULLIER KELLY,"VICE CHAIR, CHF PPL & CORP AFF",Sell,Class A Common Stock,18641.0,109.82,2047154.62,M,2025-02-07
ANDRESKI PETER M,"GBL CORP CONTROLLER, CAO",Sell,Class A Common Stock,2332.0,349.6201,815314.07,S,2025-02-07
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,8620.0,340.0,2930800.0,S,2025-02-04
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,8620.0,80.82,696668.4,M,2025-02-04
ROTTENBERG JULIE B,GENERAL COUNSEL,Sell,Class A Common Stock,2572.0,340.0,874480.0,S,2025-02-04
ROTTENBERG JULIE B,GENERAL COUNSEL,Sell,Class A Common Stock,2572.0,80.82,207869.04,M,2025-02-04
Murphy Pam,Unknown,Sell,Class A Common Stock,777.0,0.0,0.0,A,2025-01-29
List Teri,Unknown,Sell,Class A Common Stock,777.0,0.0,0.0,A,2025-01-29
Laguarta Ramon,Unknown,Sell,Class A Common Stock,777.0,0.0,0.0,A,2025-01-29
MORRISON DENISE M,Unknown,Sell,Class A Common Stock,777.0,0.0,0.0,A,2025-01-29
CARNEY LLOYD,Unknown,Sell,Class A Common Stock,777.0,0.0,0.0,A,2025-01-29
Fernandez-Carbajal Francisco Javier,Unknown,Sell,Class A Common Stock,777.0,0.0,0.0,A,2025-01-29
LUNDGREN JOHN F,Unknown,Sell,Class A Common Stock,777.0,0.0,0.0,A,2025-01-29
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,8620.0,317.78,2739263.6,S,2025-01-03
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,8620.0,80.82,696668.4,M,2025-01-03
Taneja Rajat,"PRESIDENT, TECHNOLOGY",Sell,Class A Common Stock,7094.0,314.4602,2230780.66,S,2024-12-13
Taneja Rajat,"PRESIDENT, TECHNOLOGY",Sell,Class A Common Stock,28237.0,315.83,8918091.71,S,2024-12-13
ROTTENBERG JULIE B,GENERAL COUNSEL,Sell,Class A Common Stock,4643.0,315.08,1462916.44,F,2024-12-03
Taneja Rajat,"PRESIDENT, TECHNOLOGY",Sell,Class A Common Stock,57253.0,0.0,0.0,M,2024-12-03
Taneja Rajat,"PRESIDENT, TECHNOLOGY",Sell,Class A Common Stock,29016.0,315.08,9142361.28,F,2024-12-03
ROTTENBERG JULIE B,GENERAL COUNSEL,Sell,Class A Common Stock,9161.0,0.0,0.0,M,2024-12-03
MAHON TULLIER KELLY,"VICE CHAIR, CHF PPL & CORP AFF",Sell,Class A Common Stock,32292.0,0.0,0.0,M,2024-12-03
MAHON TULLIER KELLY,"VICE CHAIR, CHF PPL & CORP AFF",Sell,Class A Common Stock,16391.0,315.08,5164476.28,F,2024-12-03
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,Sell,Class A Common Stock,8886.0,315.08,2799800.88,F,2024-12-03
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,61147.0,0.0,0.0,M,2024-12-03
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,30990.0,315.08,9764329.2,F,2024-12-03
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,8620.0,80.82,696668.4,M,2024-12-03
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,8620.0,316.9,2731678.0,S,2024-12-03
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,Sell,Class A Common Stock,17405.0,0.0,0.0,M,2024-12-03
MCINERNEY RYAN,Chief Executive Officer,Sell,Class A Common Stock,3300.0,0.0,0.0,G,2024-11-25
Fabara Paul D,CHIEF RISK & CLIENT SVCS OFC,Sell,Class A Common Stock,2171.0,307.97,668602.87,S,2024-11-22
ROTTENBERG JULIE B,GENERAL COUNSEL,Sell,Class A Common Stock,988.0,0.0,0.0,M,2024-11-21
ROTTENBERG JULIE B,GENERAL COUNSEL,Sell,Class A Common Stock,1168.0,0.0,0.0,M,2024-11-21
Taneja Rajat,"PRESIDENT, TECHNOLOGY",Sell,Class A Common Stock,7207.0,311.85,2247502.95,F,2024-11-21
ANDRESKI PETER M,"CAO, HD OF FIN SVCS, CONT",Sell,Class A Common Stock,501.0,0.0,0.0,M,2024-11-21
Taneja Rajat,"PRESIDENT, TECHNOLOGY",Sell,Class A Common Stock,4941.0,0.0,0.0,M,2024-11-21
Taneja Rajat,"PRESIDENT, TECHNOLOGY",Sell,Class A Common Stock,5186.0,0.0,0.0,M,2024-11-21
