insider_name,title,type,security,shares,price,value,code,filing_date
Rivas Fernando,Sr. Executive Vice President,Sell,"Preferred Shares, Series U",46.0,1000.0,46000.0,J,2025-06-18
Rosenberg Jason M.,SEVP & Head of Public Affairs,Sell,"Common Stock, $1 2/3 Par Value",16843.4918,0.0,0.0,M,2025-06-17
Rosenberg Jason M.,SEVP & Head of Public Affairs,Sell,"Common Stock, $1 2/3 Par Value",7260.3423,72.36,525358.37,F,2025-06-17
Flowers Derek A.,Sr. EVP and Chief Risk Officer,Sell,"Common Stock, $1 2/3 Par Value",20831.0,0.0,0.0,G,2025-03-11
Santos Kleber,Sr. Executive Vice President,Sell,"Common Stock, $1 2/3 Par Value",13517.7383,73.3,990850.22,F,2025-03-07
Powell Scott,SEVP & Chief Operating Officer,Sell,"Common Stock, $1 2/3 Par Value",44829.9396,73.3,3286034.57,F,2025-03-07
Flowers Derek A.,Sr. EVP and Chief Risk Officer,Sell,"Common Stock, $1 2/3 Par Value",37255.8897,0.0,0.0,M,2025-03-07
Flowers Derek A.,Sr. EVP and Chief Risk Officer,Sell,"Common Stock, $1 2/3 Par Value",16424.4505,73.3,1203912.22,F,2025-03-07
Van Beurden Saul,Sr. Executive Vice President,Sell,"Common Stock, $1 2/3 Par Value",65286.0334,0.0,0.0,M,2025-03-07
Van Beurden Saul,Sr. Executive Vice President,Sell,"Common Stock, $1 2/3 Par Value",33328.5363,73.3,2442981.71,F,2025-03-07
Van Beurden Saul,Sr. Executive Vice President,Sell,"Common Stock, $1 2/3 Par Value",1500.0,0.0,0.0,G,2025-03-07
Van Beurden Saul,Sr. Executive Vice President,Sell,"Common Stock, $1 2/3 Par Value",500.0,0.0,0.0,G,2025-03-07
Williams Ather III,Sr. Executive Vice President,Sell,"Common Stock, $1 2/3 Par Value",56770.6625,0.0,0.0,M,2025-03-07
Williams Ather III,Sr. Executive Vice President,Sell,"Common Stock, $1 2/3 Par Value",29018.3235,73.3,2127043.11,F,2025-03-07
SCHARF CHARLES W,CEO & President,Sell,"Common Stock, $1 2/3 Par Value",306903.2261,0.0,0.0,M,2025-03-07
Santomassimo Michael P.,Sr. EVP & CFO,Sell,"Common Stock, $1 2/3 Par Value",111766.1482,0.0,0.0,M,2025-03-07
SCHARF CHARLES W,CEO & President,Sell,"Common Stock, $1 2/3 Par Value",169717.5003,73.3,12440292.77,F,2025-03-07
Powell Scott,SEVP & Chief Operating Officer,Sell,"Common Stock, $1 2/3 Par Value",87815.7161,0.0,0.0,M,2025-03-07
Ling Bei,Sr. Executive Vice President,Sell,"Common Stock, $1 2/3 Par Value",28386.0918,0.0,0.0,M,2025-03-07
Patterson Ellen R,Sr. EVP and General Counsel,Sell,"Common Stock, $1 2/3 Par Value",31923.1565,73.3,2339967.37,F,2025-03-07
Patterson Ellen R,Sr. EVP and General Counsel,Sell,"Common Stock, $1 2/3 Par Value",62447.5764,0.0,0.0,M,2025-03-07
Santomassimo Michael P.,Sr. EVP & CFO,Sell,"Common Stock, $1 2/3 Par Value",57148.5145,73.3,4188986.11,F,2025-03-07
Sommers Barry,Sr. Executive Vice President,Sell,"Common Stock, $1 2/3 Par Value",77575.366,0.0,0.0,M,2025-03-07
Sommers Barry,Sr. Executive Vice President,Sell,"Common Stock, $1 2/3 Par Value",39602.2407,73.3,2902844.24,F,2025-03-07
Santos Kleber,Sr. Executive Vice President,Sell,"Common Stock, $1 2/3 Par Value",34345.939,0.0,0.0,M,2025-03-07
Hranicky Kyle G,Sr. Executive Vice President,Sell,"Common Stock, $1 2/3 Par Value",12584.9295,73.3,922475.33,F,2025-03-07
Hranicky Kyle G,Sr. Executive Vice President,Sell,"Common Stock, $1 2/3 Par Value",29269.8771,0.0,0.0,M,2025-03-07
Ling Bei,Sr. Executive Vice President,Sell,"Common Stock, $1 2/3 Par Value",14499.6157,73.3,1062821.83,F,2025-03-07
Chancy Mark A,Unknown,Sell,"Common Stock, $1 2/3 Par Value",2725.0,78.32,213422.0,M,2025-03-04
